Brazil	3€97	3.1€99	3.15€436	3.2€107	3.25€36	3.3€500
Argentina	3.8€137	3.9€388	4.1€560	4.3€28	4.5€720	5.4€15
France	4.7€27	4.8€411	4.9€48	5.1€205	5.3€28	6€15
Spain	4.9€184	5.1€164	5.3€732	5.4€129	5.6€12	5.7€23
Germany	5.9€46	6€677	6.2€265	6.8€130	7€150	7.8€23
England	6€29	6.2€551	6.4€160	6.6€679	6.8€45	7€34
Netherlands	6.4€106	7€70	7.2€78	7.4€53	7.8€490	8.2€1149
Portugal	7.6€282	7.8€154	8€414	8.4€366	8.6€73	8.8€32
Belgium	8.4€95	8.8€231	9€73	9.4€52	9.6€76	10€13
Denmark	12€173	12.5€43	13€31	13.5€12	14€43	14.5€16
Uruguay	15.5€34	17€43	18.5€28	22€71	32€9	
Croatia	25€11	26€122	27€25	28€33	29€39	32€66
Switzerland	30€24	32€25	38€13	42€33	44€59	48€60
Serbia	34€17	38€57	40€13	44€122	46€72	48€39
Senegal	40€28	42€56	44€25	70€13	75€4	
Poland	44€23	50€13	60€21	70€56	80€50	110€39
Mexico	44€17	50€160	60€35	65€29	75€5	
Wales		50€27	55€40	80€13	85€17	120€12
USA	48€53	65€11	70€12	80€28	85€17	100€61
Ecuador	65€13	75€12	80€30	90€26	100€60	130€17
Morocco		75€14	100€16	150€57	170€35	200€30
Ghana	95€18	100€11	110€12	400€5		
Japan	85€67	90€13	110€12	220€11		
Canada	95€14	130€23	150€18	260€31	290€15	350€13
Iran	100€14	150€19	160€17	260€12	500€5	
Cameroon	95€26	100€13	120€18	300€10		
South Korea	120€13	170€15	190€17	300€10		
Australia	100€11	130€12	160€22	350€3		
Costa Rica	100€11	170€12	190€24	930€11		
Saudi Arabia		180€11	200€14	600€18	700€5	
Qatar		100€21	180€19	450€6		
Tunisia	20€1	100€14	170€15	550€12		
