Harry Kane	9.4€14	9.6€646	9.8€102	10€326	10.5€1719	11€89
Kylian Mbappe	9.8€16	10€976	10.5€445	11€14	11.5€1182	12€98
Lionel Messi	11€69	11.5€986	12€39	12.5€671	13€111	13.5€48
Neymar	12.5€370	13€666	13.5€37	14€657	14.5€344	16€13
Cristiano Ronaldo	18.5€22	19.5€138	20€239	21€479	26€620	1000€6
Lautaro Martinez	18.5€24	19€126	19.5€71	20€25	21€167	23€85
Memphis Depay	25€51	26€54	27€238	28€667	30€61	32€11
Richarlison	26€310	27€85	28€47	29€17	30€485	32€14
Darwin Nunez	36€55	38€200	40€64	44€12	48€52	50€35
Alvaro Morata	32€33	36€67	38€17	40€252	48€20	75€1
Vinicius Junior	29€45	36€119	38€106	42€83	44€518	48€12
Olivier Giroud	1.01€1149	2€12	34€295	38€19	46€16	55€12
Robert Lewandowski	32€16	40€32	46€69	55€27	60€18	65€116
Romelu Lukaku	30€77	36€35	50€26	80€14	90€11	140€13
Gabriel Jesus	55€38	65€28	70€31	1000€11		
Kai Havertz	44€16	50€109	60€12	70€15	75€16	100€9
Cody Gakpo	48€21	50€14	60€97	75€58	100€31	180€19
Antoine Griezmann	1.01€2306	42€24	46€11	70€43	150€18	190€18
Serge Gnabry	50€17	60€128	65€55	70€20	80€25	130€5
Aleksandar Mitrovic	50€31	55€91	60€39	70€713	85€26	100€12
Julian Alvarez	65€19	70€197	75€60	100€14	110€1	
Jamal Musiala	70€17	75€18	80€42	95€11	130€15	200€12
Luis Suarez	55€20	70€22	80€24	90€13	100€15	120€20
Steven Bergwijn	65€15	70€12	90€128	150€10		
Ferran Torres	70€11	80€14	95€14	110€48	120€83	1000€5
Michy Batshuayi	90€17	100€34	110€13	140€27	150€21	200€21
Raheem Sterling	90€13	100€78	110€55	130€12	1000€10	
Phil Foden	70€11	85€27	100€19	130€15	140€13	150€63
Dusan Vlahovic	60€26	75€12	100€30	120€13	150€13	1000€10
Kevin De Bruyne	36€21	60€25	80€18	130€15	150€18	200€11
Thomas Muller	75€11	100€13	120€54	130€23	140€268	440€8
Raphinha	85€13	100€20	140€31	1000€11		
Christian Eriksen	80€12	100€32	140€13	170€19	200€13	810€11
Bruno Fernandes	130€15	170€46	180€14	230€63	290€20	500€18
Leroy Sane	120€20	160€24	180€36	230€17	240€57	1000€3
Rafael Leao	60€17	90€11	160€13	1000€11		
Bukayo Saka	190€20	200€26	210€19	250€11	260€50	450€9
Angel Di Maria	1.01€1153	100€27	170€17	990€12	1000€3	
Kingsley Coman	220€15	260€17	280€29			
Gareth Bale	80€12	150€16	230€25	270€37	300€12	390€13
Breel Embolo	1.01€1160	100€26	200€14	280€63	300€23	400€13
Christian Pulisic	1.01€2302	90€19	200€11	300€47	310€70	630€4
Andrej Kramaric	170€22	210€14	270€21	1000€5		
Leandro Trossard	110€16	250€22	260€15	390€11	920€21	990€3
Karim Benzema	50€21	60€26	300€17			
Kasper Dolberg	110€13	200€13	280€25	1000€15		
Ansu Fati	170€14	270€21	290€13	450€3		
Son Heung-Min	110€13	150€12	180€16	540€13		
Niclas Fullkrug	250€16	300€11	320€12	400€15		
Lois Openda	1.01€1151	310€22	340€11			
Youssoufa Moukoko	100€11	120€16	320€12	800€13	900€11	980€1
Pablo Sarabia	50€11	80€22	310€14	460€16	600€12	1000€2
Skov Olsen	1.01€1157	270€15	380€17	500€4		
Marcus Rashford	230€19	370€24	410€13	1000€4		
Eden Hazard	100€11	170€12	350€12	470€73	1000€12	
Edinson Cavani	100€18	230€18	350€21	660€13	1000€3	
Ousmane Dembele	330€16	450€11	500€19	900€6		
Gabriel Martinelli	310€14	450€13	460€14	1000€12		
Luka Modric	100€11	480€12	500€11	970€7		
Joao Felix	300€15	380€13	500€14	1000€10		
