Brazil	1.92€382	2€306	2.02€499	2.1€48	2.2€13	2.26€123
Argentina	2.38€11	2.4€37	2.42€292	2.48€11	2.5€30	2.52€604
France	2.52€378	2.56€355	2.58€19	2.74€14	2.76€11	2.78€38
Spain	2.94€25	2.96€214	3€875	3.05€14	3.1€30	3.15€300
England	2.98€19	3€406	3.05€20	3.2€101	3.25€11	3.4€20
Germany	3.25€262	3.3€226	3.35€43	3.55€14	3.7€164	3.75€12
Netherlands	2.7€50	3.25€156	3.4€179	3.55€36	3.75€138	3.8€90
Portugal	3.6€154	3.65€497	3.7€29	3.9€12	4€21	4.5€10
Belgium	4.3€269	4.4€50	4.5€74	4.6€36	4.7€12	5€15
Denmark	5.3€133	5.5€20	5.7€43	6€18	6.2€230	6.4€231
Uruguay	7€59	7.4€36	7.6€202	8.4€13	8.6€11	9€148
Croatia	8€103	9.2€75	9.4€151	10€27	11.5€15	
Switzerland	9.8€39	11€158	11.5€28	14€22	15€11	20€8
Serbia		7€23	10.5€17	12€54	14.5€175	15€40
Senegal	10.5€28	11.5€36	12€17	15.5€13	17€12	20€12
Mexico	14€11	14.5€42	16€17	18€20	18.5€11	19€75
USA	8€17	13.5€27	14.5€52	19€201	20€40	21€78
Poland	17€13	17.5€45	18.5€13	21€57	23€79	25€68
Wales	18.5€82	19€26	19.5€43	30€49	100€32	
Ecuador	16€20	17.5€23	18€19	25€123	28€118	48€15
Japan	28€40	29€28	32€75	44€30	50€5	
Morocco	29€130	30€60	32€12	38€68	40€12	65€35
Canada	36€26	44€50	46€28	55€132	85€11	500€2
South Korea	32€40	40€15	44€40	65€16	120€8	
Qatar		21€20	46€20	75€64	80€80	90€18
Ghana	40€28	42€12	48€14	65€12	70€106	75€25
Cameroon	21€22	44€18	55€34	95€11	140€12	180€13
Iran	40€5	55€13	60€16	80€13	100€18	110€62
Australia	2€9	55€18	75€12	110€23	120€48	140€4
Tunisia	26€12	46€29	55€16	110€22	240€17	360€11
Saudi Arabia	90€12	100€14	110€12	170€76	300€16	400€18
Costa Rica	100€15	130€16	150€16	500€14		
