Brazil	3£85	3.1£80	3.15£172	3.2£152	3.25£482	3.3£118
Argentina	3.8£120	3.95£7	4.1£174	4.3£100	4.5£10	5£3
France	4.4£11	4.5£31	4.6£212	5£106	5.2£3	10£101
Spain	5.1£249	5.2£77	5.4£3	5.6£7	5.9£7	6£20
England	5.8£27	5.9£50	6£138	6.2£13	6.4£220	6.6£130
Germany	5.6£111	5.8£220	6.2£105	6.4£17	6.6£25	7£10
Netherlands	6.4£92	6.8£51	7£87	7.6£43	7.8£13	16£50
Portugal	6.8£235	7.4£84	7.6£134	8£131	8.2£24	16£50
Belgium	8.8£12	9.2£18	9.4£8	10£5	10.5£2	11£105
Denmark	9.8£26	10.5£26	12.5£70	13£25	14£28	17.5£3
Uruguay	17£34	17.5£144	18£11	19£17	20£70	21£108
Croatia	25£10	26£63	27£13	29£49	30£87	32£30
Switzerland	30£21	32£15	34£38	38£43	42£4	44£51
Serbia	32£3	34£18	38£1	40£82	46£110	55£5
Mexico	46£4	48£43	50£12	65£5	70£4	180£18
Senegal	40£20	48£21	50£26	65£10	70£5	100£20
Ecuador	15£11	34£5	46£27	55£70	60£27	65£15
Poland	46£5	50£10	65£6	75£5	85£39	90£4
Wales	65£28	70£17	75£11	110£5	120£3	150£3
USA	50£5	60£19	65£7	80£6	90£81	95£5
Morocco		75£5	100£13	140£26	150£20	170£20
Ghana	120£6	140£2	150£8	190£4	200£1	300£10
Japan	100£4	110£4	120£3	160£2	180£2	300£10
Cameroon	120£6	130£4	160£4	250£4	300£3	500£11
Iran	100£10	130£3	140£1	250£2	280£2	500£9
Canada	95£4	120£6	150£7	250£4	320£9	350£3
Australia	150£2	170£4	200£2	330£1	760£7	
South Korea	100£6	120£3	190£2	220£3	500£8	
Costa Rica	100£10	200£3	210£2	530£2	660£2	1000£8
Saudi Arabia	210£3	230£1	240£1	1000£8		
Tunisia	100£10	150£2	170£5	530£2	1000£7	
Qatar	120£3	190£4	270£6			
