Harry Kane	8.6£258	9£128	9.2£97	9.4£3	9.6£114	9.8£438
Kylian Mbappe	8.6£116	9.4£72	10£854	10.5£174	11£104	11.5£91
Lionel Messi	10.5£169	11£312	11.5£510	12£168	12.5£125	16£2
Neymar	12£206	12.5£107	13£357	13.5£45	14£23	15£15
Lautaro Martinez	17£161	17.5£25	18£5	19£42	21£8	23£5
Cristiano Ronaldo	15£5	17.5£256	19.5£136	21£5	22£18	23£3
Memphis Depay	21£292	22£5	23£107	25£5	26£14	27£2
Richarlison	26£31	27£131	28£84	29£5	30£14	32£20
Enner Valencia	34£39	36£71	38£5	46£2	48£7	50£22
Darwin Nunez	26£32	32£33	36£103	38£15	40£5	42£63
Vinicius Junior	36£106	38£61	40£2	44£4	46£13	50£5
Olivier Giroud	27£200	32£26	34£68	42£2	44£1	50£5
Cody Gakpo	38£17	40£2	42£64	46£5	48£2	50£4
Alvaro Morata	32£16	34£95	36£6	42£5	46£13	55£5
Gabriel Jesus	44£88	55£41	60£1	80£5	100£3	
Romelu Lukaku	48£27	50£2	55£44	65£2	70£28	80£5
Julian Alvarez	50£48	55£40	60£4	65£75	75£1	85£5
Robert Lewandowski	48£11	50£40	55£55	65£51	95£3	1000£2
Aleksandar Mitrovic	55£84	60£103	65£38	70£235	95£4	100£5
Kai Havertz	50£62	55£1	60£40	75£1	85£2	95£1
Serge Gnabry	75£16	80£29	85£2	100£12	220£3	900£1
Steven Bergwijn	65£26	70£1	75£39	90£20	100£5	1000£3
Ferran Torres	85£17	90£4	100£20	900£2	1000£2	
Jamal Musiala	85£22	90£1	95£25	140£4	160£7	1000£1
Antoine Griezmann	75£29	80£27	85£2	95£3	100£10	120£5
Kevin De Bruyne	75£14	80£1	85£27	95£2	100£1	110£1
Luis Suarez	80£48	85£23	90£27	130£3	150£5	1000£3
Michy Batshuayi	80£47	90£32	95£40	110£33	120£5	130£12
Dusan Vlahovic	100£18	110£21	120£3	180£2	380£2	400£2
Phil Foden	90£50	95£35	100£18	200£1	220£4	
Gareth Bale	200£3	210£13	220£1	280£1	290£2	300£5
Thomas Muller	160£1	190£12	210£1	400£1	880£1	990£2
Eden Hazard	150£5	200£13	210£1	460£4	500£3	
Bukayo Saka	100£12	110£21	120£3	180£2	190£3	200£4
Bruno Fernandes	100£39	110£5	190£12	240£1	250£30	300£2
Raphinha	130£1	140£9	150£9			
Angel Di Maria	150£3	160£6	190£14	240£1	250£2	260£2
Raheem Sterling	60£100	70£1	75£3	110£10	120£49	130£10
Christian Eriksen	130£30	150£13	160£1	190£3	330£1	
Leroy Sane	130£29	140£8	150£12	200£3	290£5	
Rafael Leao	70£125	120£20	200£8			
Kasper Dolberg	180£6	210£6	250£9	340£5	1000£1	
Christian Pulisic	110£1	120£32	180£13	200£61	1000£1	
Leandro Trossard	180£7	210£9	220£8	300£1	1000£7	
Breel Embolo	140£27	200£1	220£7	1000£2		
Marcus Rashford	300£4	340£3	380£9	570£4	590£1	1000£2
Pablo Sarabia	50£10	260£1	270£4			
Ansu Fati	210£1	310£1	340£9			
Ismaila Sarr	400£1	450£1	500£7			
Gabriel Martinelli	330£4	370£9	380£1	600£2	700£2	900£2
Joao Felix	300£1	350£5	360£2	1000£5		
Jonathan David	280£1	360£3	400£8	870£2	880£16	
Youssoufa Moukoko	260£1	340£3	400£8			
Son Heung-Min	320£3	350£2	370£9	1000£2		
Andrej Kramaric	370£5	400£7	410£2	600£11	900£2	1000£3
Skov Olsen	440£2	450£8	460£2			
Edinson Cavani	420£4	430£9	440£1	660£4		
Niclas Fullkrug	90£10	210£1	270£4			
Hirving Lozano	400£3	460£4	520£5	700£3		
Kingsley Coman	510£3	550£9	1000£2			
Sofiane Boufal	530£2	570£9	1000£2			
Lois Openda	550£1	560£2	1000£5			
Dusan Tadic	570£2	600£9	610£4	1000£1		
Luka Modric	250£16	310£1	500£3			
Ousmane Dembele	100£10	300£13	440£13	800£4	850£1	870£2
Kieffer Moore	580£1	660£9	670£2			
Andre Silva		100£10	140£8	610£1		
Michael Estrada	390£8	600£8	1000£2			
Ivan Perisic		100£10	300£16			
Mehdi Taremi	660£8	670£2	750£11			
Bernardo Silva	620£3	660£8	670£2			
Wout Weghorst	100£10	210£1	610£3	1000£10		
Boulaye Dia		100£10	400£12	600£10	750£6	
Timo Werner	250£2	700£8	1000£5			
Jack Grealish	400£25	650£9	1000£3			
Youssef En-Nesyri	450£8	500£1	800£9			
Pedro Abreu dos Santos	2.02£50	85£2	100£8			
Vincent Janssen		500£2	600£5	1000£2		
Karim Benzema	100£1	120£2	1000£5			
Diogo Jota			1000£48			
Lucas Ocampos			1000£70			
Roberto Firmino			1000£60			
Sadio Mane			1000£21			
Georginio Wijnaldum			1000£65			
Haris Seferovic			1000£51			
