Lionel Messi	5.2£1	6.8£2	7£12	10.5£9	11.5£6	12£4
Kylian Mbappe	8£10	8.4£11	9£52	9.8£20	10£4	11.5£26
Neymar	11£4	11.5£8	12£8	13.5£19	14£21	15£5
Lautaro Martinez	16.5£11	17£19	17.5£1	34£1		
Harry Kane	17£111	18£28	18.5£34	19.5£5	20£6	21£30
Cristiano Ronaldo	18.5£4	19£2	20£53	25£9	26£5	27£20
Bukayo Saka	18.5£20	19£50	20£23	22£15	24£15	25£2
Richarlison	20£5	22£19	24£69	30£8	32£12	34£15
Vinicius Junior		1.01£1000	30£27	36£6	38£2	40£43
Alvaro Morata	36£2	38£7	40£15	46£5	48£9	50£4
Darwin Nunez	28£51	34£2	36£54	40£25	42£22	46£22
Olivier Giroud	36£10	38£28	40£5	60£5	75£2	1000£3
Cody Gakpo	32£10	34£5	38£60	44£4	90£1	95£2
Romelu Lukaku	38£3	44£2	50£44	65£5	70£5	95£8
Enner Valencia	36£62	42£52	44£3	70£12	110£1	690£6
Memphis Depay	100£1	110£5	120£1	140£1	160£1	170£4
Robert Lewandowski	1.01£1000	32£13	36£7	130£5	150£5	1000£2
Raheem Sterling	44£10	46£110	50£33	65£1	70£5	85£1
Julian Alvarez	1.01£1000	48£10	50£5	100£2	900£3	1000£2
Aleksandar Mitrovic	60£31	65£33	70£7	95£4	100£6	
Antoine Griezmann	55£5	65£39	70£30	80£5	85£11	100£1
Kai Havertz	1.01£1000	44£10	50£64	80£1	85£2	280£3
Serge Gnabry	60£1	75£16	80£5	100£1	110£5	120£5
Michy Batshuayi	50£2	75£10	80£3	90£17	95£7	100£1
Gabriel Jesus	55£25	60£1	75£15	95£2	100£5	
Luis Suarez	85£22	90£24	95£6	110£19	150£5	1000£3
Ferran Torres	85£12	95£21	100£2	170£5	190£3	750£6
Kevin De Bruyne	75£15	85£11	90£5	110£1	120£15	160£3
Jamal Musiala	85£4	90£24	100£6	150£1	160£7	1000£1
Skov Olsen	100£1	120£2	150£6	1000£2		
Dusan Vlahovic	100£17	110£19	140£2	180£2	370£14	380£2
Ansu Fati	110£20	150£6	160£3	230£5		
Bruno Fernandes	120£18	140£1	150£2	200£28	500£2	
Christian Eriksen	100£10	110£9	140£2	170£1	330£1	
Angel Di Maria		1.01£1000	100£10	210£4	260£5	1000£2
Mehdi Taremi	140£8	250£5	260£2	880£1		
Gareth Bale	140£12	200£5	210£2	250£2	290£1	300£5
Leroy Sane	160£13	170£1	180£1	1000£5		
Christian Pulisic	150£1	200£4	230£2			
Steven Bergwijn	55£2	200£5	230£2	290£1	300£2	1000£2
Pablo Sarabia	130£1	140£15	160£2			
Raphinha	110£35	160£13	200£3	1000£5		
Phil Foden	190£11	250£2	300£2	1000£2		
Marcus Rashford	95£2	130£5	140£23	160£2	390£1	
Kasper Dolberg	60£3	65£1	70£11	400£5		
Rafael Leao	100£5	120£18	140£18	890£2		
Son Heung-Min	85£5	150£1	250£10	1000£2		
Andre Silva	140£3	250£8	300£4	610£1		
Ismaila Sarr	100£10	260£1	330£3			
Niclas Fullkrug	210£1	270£8	330£4	1000£2		
Thomas Muller	140£18	190£11	260£10	400£3	550£1	850£1
Eden Hazard	200£8	280£8	330£3	460£3	500£3	
Boulaye Dia	280£7	400£2	450£2			
Breel Embolo	140£28	220£4	300£8	1000£2		
Leandro Trossard	220£7	300£5	310£1	880£1		
Gabriel Martinelli	1.01£1000	210£5	330£10	690£2	700£2	
Andrej Kramaric	100£10	250£1	350£8	1000£1		
Pedro Abreu dos Santos	2£1	300£7	400£9	890£5		
Youssoufa Moukoko	340£2	350£1	400£5			
Joao Felix	270£4	350£2	400£10	1000£5		
Ousmane Dembele	440£3	450£6	460£1	800£2		
Jonathan David	280£1	360£8	370£1	400£1	870£2	880£16
Ivan Perisic	1.01£1000	100£10	300£9	510£1	520£1	1000£2
Mason Mount	420£1	500£1	550£3			
Luka Modric	260£2	500£4	600£3			
Marko Livaja	520£4	550£9	1000£11			
Edinson Cavani	420£3	470£1	480£5	1000£1		
Kingsley Coman	460£2	550£9	600£9			
Hirving Lozano	310£2	520£3	590£5	700£1		
Dusan Tadic	610£1	670£1	700£1			
Wout Weghorst	100£10	700£2	1000£2			
Bernardo Silva	620£2	630£1	1000£2			
Youssef En-Nesyri	450£8	800£9	1000£2			
Kieffer Moore	1.01£1000	800£8	810£5			
Jack Grealish	1.01£1000	100£10	840£2			
Karim Benzema	50£17	80£1	1000£5			
Diogo Jota		1.01£1000	1000£45			
Timo Werner		1.01£1000	1000£25			
Lucas Ocampos		1.01£1000	1000£66			
Roberto Firmino		1.01£1000	1000£57			
Sadio Mane		1.01£1000	1000£18			
Georginio Wijnaldum		1.01£1000	1000£62			
Haris Seferovic		1.01£1000	1000£48			
Raul Jimenez		1.01£1000	1000£24			
Gerard Moreno		1.01£1000	1000£64			
Paul Pogba		1.01£1000	1000£65			
Vincent Aboubakar		1.01£1000	1000£25			
Dries Mertens	1.01£1000	2£2	1000£24			
Sofiane Boufal	100£10	460£1	1000£3			
Yussuf Poulsen	1.01£1000	2£2	1000£47			
Ante Rebic		1.01£1000	1000£63			
Wahbi Khazri		1.01£1000	1000£65			
Martin Braithwaite	1.01£1000	2£2	1000£11			
Marco Reus		1.01£1000	1000£56			
Gio Reyna	1.01£1000	340£1	1000£63			
Takumi Minamino		1.01£1000	1000£42			
Donyell Malen		1.01£1000	1000£53			
Luuk de Jong	1.01£1000	2£1	1000£38			
Daryl Dike		1.01£1000	1000£63			
Karl Toko Ekambi		1.01£1000	1000£37			
Ollie Watkins		1.01£1000	1000£62			
Alexis Vega		1.01£1000	1000£51			
Toni Kroos		1.01£1000	1000£62			
Hakim Ziyech	1.01£1000	2£2	1000£25			
Cyle Larin	1.01£1000	560£1	1000£10			
Almoez Ali		1.01£1000	1000£43			
Krzysztof Piatek	1.01£1000	80£1	1000£61			
Michael Estrada	390£8	600£7	1000£13			
Jonas Wind	1.01£1000	2£3	1000£43			
Leon Goretzka		1.01£1000	1000£57			
Hwang Hee-Chan		1.01£1000	1000£64			
Yuya Osako		1.01£1000	1000£63			
Sardar Azmoun		1.01£1000	1000£56			
Xherdan Shaqiri		1.01£1000	1000£47			
Mario Gavranovic		1.01£1000	1000£66			
Andre Ayew	1.01£1000	310£1	1000£40			
Stephen Eustaquio		1.01£1000	1000£66			
Achraf Hakimi		1.01£1000	1000£62			
Gyasi Zardes		1.01£1000	1000£66			
Paul Arriola		1.01£1000	1000£66			
Timothy Weah	130£1	210£47	1000£10			
Alphonso Davies	1.01£1000	540£1	1000£50			
Salem Al-Dawsari		1.01£1000	1000£60			
Seifeddine Jaziri		1.01£1000	1000£65			
Akram Afif		1.01£1000	1000£47			
Thomas Partey		1.01£1000	1000£66			
Junior Hoilett	1.01£1000	560£1	1000£65			
Saleh Al-Shehri		1.01£1000	1000£62			
Famara Diedhiou		1.01£1000	1000£47			
Arkadiusz Milik		1.01£1000	1000£47			
Mohammed Kudus		1.01£1000	1000£58			
Lois Openda	500£2	560£2	1000£35			
James Maddison	1.01£1000	2£2	1000£48			
Vincent Janssen	95£3	500£4	1000£51			
Aaron Ramsey			1000£13			
