Brazil		1.01£213	1.42£2893	1.44£21	1.45£39	1.48£2
England	1.33£50	1.36£50	1.4£100	1.44£31	1.5£20	1.51£48
Argentina	1.51£14	1.63£2	1.64£25	1.98£39	2£10	4£866
Netherlands	1.01£137	1.53£20	1.65£5	1.69£4	1.73£25	1.78£5
France		1.01£172	1.52£8	1.62£84	1.77£16	1.79£16
Spain	1.61£20	1.74£57	1.75£2	1.78£22	1.79£31	1.82£2
Germany	1.86£5	1.87£3	1.88£2	2.06£4	2.08£3	2.1£10
Portugal	1.97£10	2.02£25	2.06£2	2.12£3	2.24£2	2.38£20
Belgium	1.16£56	1.9£20	2.58£11	2.6£6	2.62£20	2.64£20
Denmark	2.76£197	2.8£100	2.82£1	2.9£1	2.98£10	3£50
Uruguay	3£10	3.1£1	3.15£6	3.45£5	3.5£12	3.55£120
Croatia		1.37£31	3.85£1	4.2£85	4.3£10	5£10
Ecuador	1.44£25	3.3£2	4.5£110	6£10		
Switzerland	1.47£23	4£10	4.8£21	5.1£11	5.3£20	5.4£132
USA	4.8£20	4.9£10	5.2£5	5.8£3	5.9£20	7£10
Serbia	1.51£21	4.6£10	5.2£18	5.5£25	5.7£2	5.8£43
Wales	5.7£10	5.8£3	5.9£4	7.2£6		
Mexico	5.6£1	6£23	6.2£7	6.4£10	6.6£3	6.8£10
Poland			1.58£17	6£88	7.8£10	8£10
Senegal	5.6£3	7£10	7.2£17	8.8£1	10£3	10.5£5
Morocco	1.74£10	9.6£3	9.8£14	15£10	16£10	
Japan	1.8£8	11£1	12£14	12.5£5	14£10	14.5£5
Canada	1.84£6	13£10	14£2	18£3	26£10	
Cameroon	1.85£6	14£10	14.5£1	21£3	23£5	24£2
Ghana	14£5	14.5£5	15£3	19£7	19.5£5	23£10
South Korea	13£5	15£6	15.5£1	17.5£5	20£10	
Tunisia		1.88£5	16.5£2	17£1	21£6	23£10
Australia	1.89£5	16£9	17£5	24£10	25£6	30£5
Iran	1.94£4	21£5	22£5	50£2		
Saudi Arabia		1.75£9	5£20	7£5	200£2	
Costa Rica		1.96£3	26£5	60£1	70£3	75£3
Qatar	14£14	44£76	55£5			
