Brazil	2.96£9	3£119	3.05£4	3.15£258	3.2£190	3.25£66
France	4.1£9	4.3£2	4.4£8	4.5£250	4.6£9	4.8£91
England	4.7£61	4.8£246	4.9£1	5£11	5.1£34	5.5£10
Spain	5£30	5.2£136	5.5£24	5.7£185	6£10	
Argentina	5.6£52	5.8£9	5.9£2	7£10	15.5£9	
Germany	5.4£44	5.9£2	6£5	6.4£15	6.8£3	7£140
Netherlands	5.7£3	6£2	6.2£2	6.6£268	6.8£3	7.2£3
Portugal	7.4£61	7.6£100	7.8£37	8.4£3	8.6£178	9£10
Belgium	9.4£3	9.8£13	10£8	11£5	12£10	
Denmark	13.5£24	14£74	14.5£48	16£4	17£7	17.5£3
Uruguay	17£34	17.5£107	18£82	20£1	21£96	23£7
Croatia	21£5	22£86	23£38	27£2	28£28	30£11
Serbia	21£10	25£3	29£2	38£2	42£5	44£23
Ecuador	26£10	32£10	34£6	48£60	65£15	95£5
Switzerland	34£5	40£5	42£4	50£5	55£19	65£5
Mexico	26£8	50£11	60£1	75£35	80£5	100£1
Senegal	50£15	60£2	65£2	85£3	100£4	
USA	50£15	60£14	65£6	80£1	85£2	
Wales	70£4	75£1	90£10	120£5		
Poland	29£10	55£13	75£10	85£1	95£5	
Tunisia	100£10	120£3	130£4	200£1	230£2	
Morocco	90£31	100£8	110£2	150£40	180£4	
Costa Rica			100£12	500£1	530£2	
Japan			100£4	180£1	200£2	
Cameroon	100£17	150£1	170£2	220£1	290£2	300£3
Ghana	95£3	100£20	110£2	300£1		
South Korea		95£12	100£7	300£1	340£24	350£2
Saudi Arabia	1.01£3356	65£5	70£1	250£1	350£2	
Iran			140£3	1000£1		
Australia	140£5	150£3	260£4	500£1	600£1	
Canada		50£5	150£7	240£1	250£4	350£3
Qatar	190£4	270£1	280£5	900£1		
