Kylian Mbappe	7.6£2	7.8£10	8£184	8.4£9	8.6£250	8.8£2
Olivier Giroud	10£50	10.5£426	11£78	11.5£44	12£27	12.5£56
Neymar	10.5£23	11£32	11.5£1	12£16	12.5£34	13£19
Lionel Messi	12.5£25	13.5£440	14£58	14.5£57	15£22	15.5£2
Bukayo Saka	18£7	18.5£36	21£23	22£47	23£1	24£30
Cristiano Ronaldo	17£2	19£16	19.5£72	20£1	21£20	22£4
Harry Kane	21£77	22£18	23£28	24£23	25£11	32£6
Richarlison	27£29	28£46	29£11	30£23	32£15	34£5
Alvaro Morata	28£5	30£39	38£6	42£2	44£5	48£9
Cody Gakpo	32£13	34£37	36£6	38£1	40£107	44£2
Lautaro Martinez	34£10	36£5	38£5	40£4	42£1	44£7
Enner Valencia	36£16	38£9	40£13	48£2	55£1	900£3
Vinicius Junior	34£12	36£8	38£1	40£2	70£3	900£2
Darwin Nunez	32£50	34£3	36£22	38£21	40£104	42£100
Memphis Depay	48£4	50£48	55£11	60£83	75£2	85£16
Romelu Lukaku	42£2	44£7	48£1	55£3	65£2	70£5
Raheem Sterling	46£4	48£13	50£13	55£6	60£5	65£1
Gabriel Jesus	60£11	65£1	70£36	75£1	80£2	100£3
Kai Havertz	46£2	48£43	50£9	60£4	65£5	75£2
Aleksandar Mitrovic	80£28	85£4	90£7	100£3	220£3	
Michy Batshuayi	55£5	70£13	75£6	80£9	95£7	100£1
Serge Gnabry	60£1	65£52	70£12	75£5	90£5	95£6
Jamal Musiala	48£2	50£63	55£7	100£7	110£1	120£5
Luis Suarez	65£8	75£2	80£35	110£12	150£5	1000£2
Kevin De Bruyne	75£2	85£1	90£11	100£2	110£1	120£15
Julian Alvarez	48£10	70£50	85£9	790£1	890£14	900£2
Ferran Torres	85£10	90£1	95£4	120£5	130£5	160£1
Marcus Rashford	60£11	65£12	70£6	130£1	150£5	170£4
Niclas Fullkrug	110£1	120£2	130£37	1000£2		
Thomas Muller	75£52	85£22	90£6	180£10	240£3	270£4
Robert Lewandowski	80£2	85£4	90£38	180£1	480£37	570£1
Dusan Vlahovic	100£35	110£3	120£7	150£1	200£3	370£13
Bruno Fernandes	110£2	120£6	130£14	270£7	280£1	290£1
Youssoufa Moukoko	100£12	190£22	330£1			
Gareth Bale	140£3	150£35	160£3	440£45	800£5	890£5
Mehdi Taremi	140£3	150£2	160£1	600£4	880£2	1000£1
Ansu Fati	160£2	170£23	180£3	230£23		
Antoine Griezmann	150£3	160£1	170£13	220£2	250£2	
Rafael Leao	100£5	120£25	140£1	170£3	790£2	800£2
Raphinha	110£35	160£9	170£3	200£2	400£4	
Eden Hazard	150£7	170£7	180£4	450£2	460£3	500£3
Leroy Sane	150£90	160£5	170£1	330£15	340£2	350£4
Phil Foden	140£1	160£1	190£8	770£1	990£10	1000£2
Leandro Trossard	180£10	190£1	200£3	440£1	680£7	
Pablo Sarabia	240£1	270£2	280£1			
Christian Eriksen	150£6	190£4	200£15	400£2	770£1	
Skov Olsen	250£1	280£2	290£1			
Kasper Dolberg	100£10	200£5	210£2			
Steven Bergwijn	55£2	200£4	210£6	300£1	460£45	1000£2
Breel Embolo	210£2	230£1	260£3	290£1	990£1	1000£2
Ousmane Dembele	240£1	300£12	310£2	1000£1		
Angel Di Maria	200£1	240£2	250£2	500£2	1000£2	
Andrej Kramaric	100£10	240£1	250£2	990£2	1000£2	
Son Heung-Min	150£1	170£5	260£4	490£1	500£2	1000£2
Gabriel Martinelli	1.01£1000	210£5	300£7	590£2	650£2	
Christian Pulisic	240£1	250£3	310£2			
Timothy Weah	300£3	340£29	500£2			
Ivan Perisic	300£6	310£1	360£2	510£1	520£1	600£2
Jonathan David	280£1	360£8	370£4	850£5	870£2	880£16
Luka Modric	350£2	380£1	390£2			
Jack Grealish	110£1	390£6	410£1			
Ismaila Sarr	330£3	350£1	400£5			
Pedro Abreu dos Santos	2£1	300£7	400£7	900£4		
Hirving Lozano	290£2	360£1	410£7			
