Brazil	4.1£20924	4.2£30079	4.3£6994	4.4£9582	4.5£1714	4.6£6384
France	7.6£3861	7.8£3553	8£1922	8.2£7162	8.4£3165	8.6£982
England	8.2£686	8.4£2446	8.6£5721	8.8£5083	9£3887	9.2£1227
Argentina	9.4£325	9.6£331	9.8£520	10£537	10.5£1111	11£5423
Spain	10£1474	10.5£3171	11£9451	11.5£321	12£6389	12.5£4384
Germany	12£7104	12.5£6976	13£5365	13.5£8060	14£1130	14.5£254
Netherlands	13.5£441	14£5854	14.5£4234	15£2328	15.5£163	16£531
Portugal	15.5£1217	16£2435	16.5£4158	17£1817	17.5£703	18£177
Belgium	21£3949	22£2109	23£318	24£1545	25£712	26£175
Uruguay	40£382	42£892	44£343	46£185	48£677	50£471
Denmark	46£67	48£73	50£520	55£90	60£596	65£151
Croatia	65£280	70£779	75£117	80£928	85£215	90£43
Serbia	85£123	90£72	95£64	100£32	110£401	120£65
Switzerland	120£139	130£271	140£49	150£167	160£87	170£21
Ecuador	160£205	170£152	180£56	190£32	200£52	210£91
Mexico	200£22	210£11	220£45	230£32	270£10	280£21
Senegal	250£157	260£11	270£12	290£15	300£82	310£6
USA	280£18	290£87	300£70	320£1	330£16	340£2
Wales	330£47	340£54	350£35	370£4	380£11	400£4
Poland	340£19	350£19	360£16	380£8	390£13	410£11
Morocco	340£25	350£101	360£15	390£13	400£15	410£3
Japan	440£53	450£68	460£7	480£5	490£6	500£65
Saudi Arabia	300£3	310£2	320£54	420£1	430£11	440£12
Ghana	630£40	640£24	650£4	690£3	700£2	720£1
Cameroon	660£23	670£10	680£8	710£17	720£48	810£5
South Korea	660£23	670£18	680£10	730£50	790£5	810£5
Canada	710£6	720£19	730£7	760£4	770£5	780£9
Australia	830£4	840£16	850£1	870£5	880£2	890£5
Tunisia	870£12	890£1	900£2	960£1	970£1	980£2
Qatar	610£2	640£2	1000£715			
Iran	300£2	580£49	1000£688			
Costa Rica	670£2	800£2	1000£903			
