Brazil	2.94£15	2.98£112	3£92	3.1£169	3.15£435	3.2£190
France	3.4£56	4£112	4.1£6	4.4£3	4.5£5	4.6£161
England	4.5£92	4.6£57	4.7£4	4.8£3	4.9£27	5£12
Spain	3.65£51	4.1£10	4.4£10	4.7£13	4.9£5	5£5
Argentina	5.6£51	5.8£6	6£77	6.4£1	6.6£10	6.8£10
Netherlands	5.6£5	6£2	6.2£10	6.8£4	7£106	7.4£303
Germany	9.2£2	10£9	11£20	14£8		
Portugal		6£20	6.4£25	7.4£4	8£3	8.2£176
Belgium	7.2£10	7.6£5	7.8£2	10£2	19£2	
Denmark	14£70	14.5£9	15£1	18£1	18.5£10	19£90
Uruguay	17£34	17.5£107	18£10	20£1	21£96	23£7
Croatia	19.5£10	25£17	27£5	32£8		
Serbia	29£11	32£3	38£18	42£11	44£23	48£1
Japan	34£9	36£9	40£2	75£2		
Switzerland	34£5	36£1	40£5	50£33	55£19	65£5
Ecuador	26£10	32£10	34£6	48£52	65£15	95£5
Mexico	21£10	26£8	28£10	70£5		
Senegal	50£15	60£2	85£2	100£4		
Poland	29£10	40£10	75£10	95£4		
USA	34£10	50£15	60£8	110£2		
Morocco		55£5	75£10	150£1	200£5	
Wales	70£4	75£10	95£3	120£3		
Saudi Arabia	1.01£3351	70£5	100£5	350£2		
Tunisia	60£5	100£10	120£3	230£2		
Costa Rica			100£2	990£2		
Iran		100£10	140£3	1000£1		
Ghana		100£20	110£1			
Cameroon		100£17	170£1	290£2	300£3	
South Korea	95£12	100£7	120£1	350£2		
Canada	50£5	80£2	100£10			
Australia	100£10	150£3	260£4			
Qatar	190£4	270£1	280£5			
