Kylian Mbappe	8£243	8.2£81	8.4£34	8.6£23	8.8£99	9£3
Neymar	10£43	10.5£74	11£98	11.5£10	12£87	12.5£33
Olivier Giroud	10.5£257	11£303	11.5£61	12.5£113	13£2	14£14
Lionel Messi	14£14	14.5£32	15£40	15.5£6	16£36	18£5
Ferran Torres	15£25	15.5£35	16£20	17£101	18£41	18.5£26
Cristiano Ronaldo	17£32	17.5£7	18£47	18.5£11	19£4	19.5£22
Harry Kane	17.5£5	18£12	19.5£4	23£2	24£3	25£9
Bukayo Saka	18.5£14	19£22	20£1	21£28	22£2	23£1
Richarlison	23£190	25£4	26£117	27£60	29£15	30£29
Vinicius Junior	26£3	27£37	28£8	38£1	46£4	48£5
Darwin Nunez	28£66	30£127	32£27	34£16	38£1	40£15
Cody Gakpo	32£13	34£5	36£12	38£3	48£1	50£18
Alvaro Morata	32£13	40£26	42£1	55£10	60£5	85£2
Gabriel Jesus	32£13	36£9	38£16	48£6	50£1	55£2
Lautaro Martinez	44£2	46£3	48£8	55£5	90£5	95£30
Raheem Sterling	46£1	50£66	55£10	65£1	75£1	100£6
Enner Valencia	48£10	50£18	55£8	75£39	80£2	900£3
Memphis Depay	48£2	50£3	55£8	65£3	70£3	85£15
Michy Batshuayi	70£2	75£67	80£4	120£2	130£2	140£12
Aleksandar Mitrovic	55£15	60£10	65£4	80£6	90£17	100£5
Luis Suarez	1.01£1000	50£10	60£12	100£4	110£4	140£4
Kevin De Bruyne	70£2	95£1	100£31	120£16	290£1	900£2
Son Heung-Min	1.01£1000	85£5	100£7	300£1	480£1	490£1
Marcus Rashford	80£1	90£4	100£11	160£4	170£3	180£1
Romelu Lukaku	95£3	100£11	110£6	290£1	380£1	400£1
Bruno Fernandes	80£35	100£10	110£14	170£1	180£2	190£2
Jamal Musiala	85£1	100£21	120£2	900£7	950£8	960£2
Raphinha	1.01£1000	70£150	110£26	160£2	180£10	190£12
Rafael Leao	42£10	100£3	120£3	150£1	890£2	900£4
Serge Gnabry	100£15	110£3	120£2	770£1	780£1	800£3
Thomas Muller	100£11	110£1	130£3	380£2	400£3	850£1
Mehdi Taremi	100£10	120£2	130£1	870£2	880£1	1000£1
Robert Lewandowski	110£1	140£2	150£3	240£1	250£1	570£1
Kai Havertz	60£2	100£10	150£4	210£2	220£2	230£2
Marco Asensio	100£10	140£2	150£16	220£1	290£3	350£2
Dusan Vlahovic	120£3	150£1	160£4	360£8	370£9	380£2
Gareth Bale	140£3	150£34	160£4	400£1	590£5	630£1
Ansu Fati	100£26	160£1	170£3			
Julian Alvarez	150£1	170£2	180£11	900£2		
Antoine Griezmann	160£1	170£11	180£5	220£1	250£2	1000£1
Ousmane Dembele	100£10	150£2	190£2	400£1	1000£2	
Breel Embolo	170£5	180£1	190£2	460£4	990£1	1000£2
Leroy Sane	130£38	160£5	350£1			
Leandro Trossard	1.01£1000	110£35	210£2	400£3	440£1	680£15
Bernardo Silva	210£3	230£2	240£2	900£2	990£3	1000£2
Steven Bergwijn	200£4	210£9	220£3			
Gabriel Martinelli	1.01£1000	210£5	220£2	450£2	500£1	590£2
Kasper Dolberg	100£10	220£4	230£4			
Phil Foden	200£5	210£2	240£2	640£1	700£3	
Ivan Perisic	230£1	240£2	250£3	600£2		
Eden Hazard	120£1	150£1	260£2	500£3		
Christian Eriksen	210£9	260£2	270£5	400£3	770£1	
Dani Olmo	250£16	270£9	280£3	300£3	440£1	590£3
Niclas Fullkrug	140£5	270£7	280£3	1000£1		
Jonathan David	230£1	290£5	300£3	870£2		
Angel Di Maria	260£4	270£1	280£5	450£2	490£1	1000£2
Joao Felix	50£10	100£23	200£2	890£2	900£2	1000£13
Pedro Abreu dos Santos	2£1	2.02£4	310£1	900£2	1000£2	
Timothy Weah	340£29	370£14	380£25	1000£2		
Edinson Cavani	360£3	370£2	390£2	620£1	630£2	
Jack Grealish	390£1	400£2	410£3	800£1		
Skov Olsen	280£1	400£3	410£3			
Ismaila Sarr	410£2	430£1	440£2			
Andrej Kramaric	410£1	420£2	430£1			
Christian Pulisic	310£3	380£1	450£2			
Youssef En-Nesyri	100£10	450£4	630£1			
Boulaye Dia	280£7	400£2	460£4			
Hirving Lozano	100£10	220£9	470£7			
Youssoufa Moukoko	250£4	260£3	500£25			
Luka Modric	500£5	510£3	560£2			
Mason Mount	100£10	550£3	810£2			
Dusan Tadic	100£10	120£3	600£15			
Andre Silva	140£3	300£3	620£4			
Wout Weghorst	100£10	700£2	1000£2			
Hakim Ziyech	100£10	710£1	1000£1			
Lois Openda	500£2	560£2	800£5			
Karim Benzema	2£3	80£1	1000£21			
Diogo Jota		1.01£1000	1000£46			
Timo Werner		1.01£1000	1000£25			
Lucas Ocampos		1.01£1000	1000£73			
Roberto Firmino		1.01£1000	1000£74			
Sadio Mane		1.01£1000	1000£38			
Georginio Wijnaldum		1.01£1000	1000£68			
Haris Seferovic		1.01£1000	1000£44			
Raul Jimenez		1.01£1000	1000£27			
Gerard Moreno		1.01£1000	1000£69			
Paul Pogba		1.01£1000	1000£70			
Vincent Aboubakar		1.01£1000	1000£25			
Dries Mertens		1.01£1000	1000£29			
Sofiane Boufal	100£10	460£1	1000£9			
Yussuf Poulsen	1.01£1000	2£2	1000£52			
Ante Rebic		1.01£1000	1000£69			
Wahbi Khazri		1.01£1000	1000£71			
Martin Braithwaite	1.01£1000	2£2	1000£15			
Kingsley Coman	550£9	600£9	1000£30			
Marco Reus		1.01£1000	1000£60			
Gio Reyna	1.01£1000	340£1	1000£69			
Takumi Minamino		1.01£1000	1000£43			
Donyell Malen		1.01£1000	1000£58			
Luuk de Jong	1.01£1000	2£1	1000£40			
Daryl Dike		1.01£1000	1000£67			
Karl Toko Ekambi		1.01£1000	1000£33			
Ollie Watkins		1.01£1000	1000£65			
Alexis Vega		1.01£1000	1000£17			
Toni Kroos		1.01£1000	1000£65			
Cyle Larin	100£10	700£1	1000£2			
Almoez Ali		1.01£1000	1000£43			
Krzysztof Piatek	1.01£1000	80£1	1000£64			
Michael Estrada	1.01£1000	600£7	1000£15			
Jonas Wind	1.01£1000	2£3	1000£40			
Leon Goretzka	1.01£1000	8£7	1000£60			
Hwang Hee-Chan		1.01£1000	1000£68			
Yuya Osako		1.01£1000	1000£63			
Sardar Azmoun		1.01£1000	1000£59			
Xherdan Shaqiri		1.01£1000	1000£49			
Mario Gavranovic		1.01£1000	1000£70			
Andre Ayew	1.01£1000	310£1	1000£43			
Stephen Eustaquio		1.01£1000	1000£70			
Achraf Hakimi		1.01£1000	1000£66			
Gyasi Zardes		1.01£1000	1000£70			
Paul Arriola		1.01£1000	1000£70			
Alphonso Davies		1.01£1000	1000£52			
Salem Al-Dawsari		1.01£1000	1000£52			
Seifeddine Jaziri		1.01£1000	1000£69			
Akram Afif		1.01£1000	1000£50			
Thomas Partey		1.01£1000	1000£70			
Junior Hoilett		1.01£1000	1000£69			
Saleh Al-Shehri		1.01£1000	1000£52			
Famara Diedhiou		1.01£1000	1000£50			
Pablo Sarabia	100£10	140£16	1000£6			
Arkadiusz Milik		1.01£1000	1000£50			
Kieffer Moore	1.01£1000	810£5	1000£30			
Mohammed Kudus		1.01£1000	1000£61			
James Maddison	1.01£1000	2£2	1000£49			
Vincent Janssen	50£20	95£3	1000£55			
Aaron Ramsey			1000£65			
Marko Livaja	2£3	550£9	1000£11			
Junya Ito	2£2	400£7	1000£40			
Daizen Maeda		2£2	1000£23			
