Brazil	2.6£99	2.62£42	2.68£4	2.72£11	2.76£3	2.78£2
France	4£188	4.1£96	4.2£6	4.4£7	4.9£20	5£2
England	4.4£18	4.5£115	4.6£8	4.7£47	4.8£56	5£22
Spain	4.5£11	4.8£72	5£9	5.1£11	5.2£6	5.3£90
Argentina	6£103	6.2£5	6.6£1	6.8£4	7.6£10	7.8£18
Netherlands	6.4£15	6.6£30	6.8£1	7£4	7.4£31	
Portugal	4.4£92	6£80	6.2£360	7£10	7.2£73	
Belgium	9£20	9.8£7	10£65	10.5£3	11.5£1	12£10
Germany	12.5£42	13£82	14£14	15£2	17£10	20£1
Denmark	14£2	15£18	15.5£11	16£1	18£10	19£78
Uruguay	20£48	21£2	25£19	26£1	27£1	28£10
Croatia	22£13	25£16	26£73	32£2	36£5	
Serbia	17£18	32£48	34£6	65£5		
Japan	32£16	34£9	55£1	65£5	70£30	120£5
Switzerland	26£18	27£3	28£12	46£5	50£26	
Ecuador	34£20	40£12	42£1	46£6	55£5	60£51
Mexico	44£6	50£11	55£16	70£4		
Senegal	70£3	80£1	100£11	110£3	120£20	
Poland	48£10	70£2	75£11	95£1		
USA	55£1	60£8	65£3	90£1	100£43	110£2
Morocco	70£7	75£10	80£2	130£8	150£1	
Wales	65£28	70£3	100£12	150£3		
Saudi Arabia	70£5	80£6	85£6	230£1	250£2	
Tunisia	130£3	140£2	150£4	230£1		
Costa Rica		200£2	500£3			
Iran	140£3	160£3	170£3	1000£1		
Ghana	36£4	100£10	110£2	280£1		
Cameroon	110£4	200£2	210£9	1000£1		
South Korea	55£4	100£3	110£13	300£1	350£2	
Canada	100£10	110£5	150£1	250£3		
Australia	150£1	220£2	230£4	700£1		
Qatar	190£4	270£1	300£6	1000£1		
