Richarlison	6.6£262	6.8£165	7£108	7.4£183	7.6£233	8£12
Kylian Mbappe	8.6£24	8.8£32	9£24	9.6£5	9.8£105	10.5£64
Olivier Giroud	11.5£321	12£27	12.5£16	13£126	13.5£2	14£12
Lionel Messi	13.5£429	14£180	14.5£29	15£31	15.5£13	16£38
Cristiano Ronaldo	17£1	17.5£24	18£15	20£5	21£10	22£10
Ferran Torres	15.5£225	16£25	16.5£5	18£3	19£30	20£3
Bukayo Saka	17.5£60	19£83	19.5£35	21£6	22£2	23£1
Harry Kane	19£19	19.5£16	20£20	21£2	22£8	23£18
Alvaro Morata	30£4	36£3	38£13	40£1	48£10	50£8
Neymar	42£25	44£1	46£5	55£1	60£1	65£10
Cody Gakpo	32£13	40£22	42£2	48£1	50£10	55£19
Vinicius Junior	50£2	55£2	60£12	70£5	130£1	900£2
Raheem Sterling	10£1	50£87	55£26	60£37	100£6	120£5
Lautaro Martinez	22£3	34£10	50£12	75£2	80£5	90£40
Memphis Depay	38£2	40£4	42£6	70£8	75£14	80£6
Enner Valencia	44£35	50£10	60£9	75£1	80£1	900£3
Darwin Nunez	70£1	75£2	80£6	90£74	130£5	240£4
Gabriel Jesus	55£2	90£11	95£3	100£1	150£1	170£1
Raphinha	95£1	100£3	110£4	200£1	840£2	1000£3
Son Heung-Min	11£2	11.5£10	100£47	1000£1		
Michy Batshuayi	90£1	95£1	100£8	180£1	200£1	210£3
Marcus Rashford	90£1	95£1	100£8	180£1	220£1	
Joao Felix	95£3	100£4	110£36	190£1	690£1	890£2
Aleksandar Mitrovic	70£1	100£10	110£4	210£1	220£3	
Rafael Leao	80£1	95£6	100£3	110£1	200£2	300£2
Marco Asensio	80£5	100£12	120£49	1000£2		
Mehdi Taremi	100£10	120£1	200£6	400£1	480£1	870£2
Luis Suarez	140£3	150£2	160£3	240£1	1000£3	
Romelu Lukaku	150£1	170£1	190£4	250£1	280£1	290£1
Kai Havertz	170£1	190£1	200£3	800£3		
Bruno Fernandes	130£10	140£1	160£7	260£3	500£3	
Jamal Musiala	120£10	130£4	180£2	500£1	600£2	860£1
Gareth Bale	150£11	160£1	180£6	300£28	360£1	370£1
Serge Gnabry	75£2	100£15	130£4	560£1	690£3	750£1
Kevin De Bruyne	110£3	210£20	230£3			
Ansu Fati	100£10	110£4	210£2	570£6		
Dani Olmo	44£10	200£8	210£2	440£1	600£2	990£1
Robert Lewandowski	100£11	200£1	220£8	600£1	1000£2	
Julian Alvarez	170£1	220£2	230£2	500£4	900£2	
Dusan Vlahovic	200£1	220£1	250£2	380£3	400£2	990£2
Kasper Dolberg	100£10	220£4	230£3			
Breel Embolo	100£2	200£4	210£2	800£3	990£1	1000£2
Antoine Griezmann	150£3	170£12	250£4	750£2	1000£1	
Thomas Muller	200£2	230£1	260£3	290£1	380£1	400£3
Gabriel Martinelli	100£10	210£1	220£3	300£2	420£1	590£2
Niclas Fullkrug	140£5	270£6	280£3			
Phil Foden	110£10	300£2	310£2	500£1	700£3	
Ivan Perisic	280£2	290£3	300£2	600£2		
Jonathan David	290£5	300£3	310£2			
Ousmane Dembele	220£5	320£1	330£2	600£2	700£1	1000£2
Leroy Sane	80£5	85£7	350£1			
Edinson Cavani	350£4	390£3	400£3	590£1		
Eden Hazard	100£10	110£3	260£2	500£3		
Steven Bergwijn	210£3	340£1	380£4			
Skov Olsen	140£6	400£3	410£3			
Andrej Kramaric	120£5	130£6	410£4	1000£1		
Leandro Trossard	400£1	410£2	440£1	680£2		
Jack Grealish	100£10	400£2	440£4	800£2		
Andre Silva	300£3	310£3	460£2			
Christian Pulisic	250£3	260£3	470£1			
Angel Di Maria	260£4	310£2	570£5	1000£2		
Christian Eriksen	190£3	210£4	580£3	770£1		
Ismaila Sarr	100£10	330£3	500£1			
Boulaye Dia	100£10	400£2	410£2			
Youssoufa Moukoko	500£25	600£4	610£2			
Luka Modric	510£3	600£5	610£2			
Dusan Tadic	100£10	120£3	650£1			
Youssef En-Nesyri	100£11	660£4	670£2			
Timothy Weah	390£10	510£2	700£1			
Bernardo Silva	700£3	720£3	730£1			
Hirving Lozano	220£9	360£1	770£4			
Lois Openda	500£2	560£2	800£4			
Mason Mount	550£2	800£2	890£1			
Pedro Abreu dos Santos	300£1	960£3	970£3			
Karim Benzema	2£3	80£1	1000£8			
Diogo Jota		1.01£1000	1000£43			
Timo Werner		1.01£1000	1000£22			
Lucas Ocampos		1.01£1000	1000£67			
