Brazil	1.31£154	1.33£299	1.34£2	1.38£88	1.39£8	1.4£14
France	1.43£491	1.44£227	1.45£2	1.49£5	1.5£230	1.51£4
England	1.43£775	1.44£226	1.45£621	1.47£163	1.48£10	1.51£20
Spain	1.47£5	1.52£172	1.53£5	1.76£10	1.82£2	
Netherlands	1.57£17	1.59£7	1.6£18	1.61£50	1.65£9	1.75£10
Portugal	1.84£74	1.85£10	1.86£56	1.93£23	1.94£10	1.95£134
Belgium	2.16£53	2.18£3	2.2£1	2.3£5	2.34£20	2.36£5
Argentina	2.24£2	2.26£20	2.3£40	2.6£10	2.66£10	
Denmark	3.05£24	3.2£7	3.25£4	3.45£1	3.5£10	
Uruguay	3.3£7	3.35£10	3.9£164	4.5£10	5£20	
Germany	3.75£145	4£143	4.1£2	4.8£3	4.9£3	5£10
Croatia	4£3	4.1£20	4.2£78	4.5£2	5£12	5.1£4
Japan	4£6	4.2£11	4.5£40	4.8£9	5£10	
Ecuador	4.4£20	4.5£12	4.7£15	5.4£44	6£10	
Switzerland	4.3£23	4.8£9	4.9£10	5.3£63	5.5£4	6£20
Serbia	4.6£10	5£66	5.1£11	6£1	6.4£18	6.6£10
USA	5.1£97	6£3	6.2£3	7.2£103	7.4£3	8£10
Mexico	6.4£20	7£17	7.2£4	8.6£9	10£10	
Poland	7£35	7.2£5	7.4£1	8.8£22	9£10	
Wales	7£11	7.2£10	7.6£20	8.2£5	8.4£2	9.8£10
Saudi Arabia	7£17	7.6£123	8£15	10£3	11£5	12.5£10
Senegal	9.2£7	10£6	10.5£2	13£5	14£61	14.5£3
Morocco	8£10	8.4£8	8.6£7	10£4	11£36	12£10
Ghana	4£33	10.5£1	11£6	26£5	30£1	32£5
Tunisia	11£6	11.5£3	13£7	15£1	15.5£51	16.5£10
Canada	11£40	12£25	13£8	17£15	22£10	
South Korea	11£34	11.5£10	13£13	15.5£2		
Australia	16.5£25	17£3	24£11	32£4	34£5	
Cameroon	22£2	34£4	40£3	75£1	100£2	
Iran	26£3	27£9	28£36	40£1	50£2	
Costa Rica	27£8	32£3	150£1	200£1	250£2	
Qatar	65£1	75£8	80£1	350£1	400£1	
