Brazil	1.77£30	1.78£65	1.79£55	1.91£95	1.92£20	2£344
France	2.3£7	2.32£20	2.4£35	2.54£53	2.6£300	2.62£115
England	2.6£58	2.62£5	2.7£90	2.94£104	2.96£20	2.98£2
Spain	2.7£178	2.76£55	2.82£30	2.92£2	2.94£20	2.96£2
Netherlands	2.9£3	2.94£25	2.96£2	3.1£187	3.25£12	5£2
Portugal	3.1£52	3.15£22	3.2£2	3.4£3	3.45£10	3.5£210
Argentina	3.3£157	3.45£20	3.5£2	3.7£10	3.75£10	5.8£4
Belgium	3.75£23	3.9£155	4.2£50	4.6£10	4.8£10	4.9£4
Denmark	6£1	6.2£25	6.4£7	6.8£4	7£10	8£10
Germany	7£8	7.2£72	7.4£5	8£5	9£10	
Uruguay	8£99	8.2£129	8.6£5	10.5£15	12£2	13£35
Switzerland	9£10	9.2£13	10£5	12£10		
Croatia	8.4£88	10£41	10.5£17	13£10	14£2	
Japan	10.5£51	11.5£46	12.5£5	14.5£11	16£5	17£5
Ecuador	12£7	12.5£15	13£5	14£149	19£10	19.5£43
Serbia	13£6	14£78	15.5£4	17£2		
USA	13.5£5	14£48	15£12	18.5£3	19£10	20£15
Mexico	16£53	16.5£14	17£4	20£5	21£82	24£10
Poland	14.5£5	17£41	19£9	26£5	27£2	28£2
Wales	21£6	22£8	24£3	30£68	32£5	34£86
Senegal	22£10	23£33	25£2	27£5	32£5	
Saudi Arabia	1.49£6	19£9	26£19	30£2	32£1	34£4
Morocco	22£10	23£30	26£2	32£2	34£1	48£2
Canada	34£5	38£26	42£1	50£1	65£1	80£5
Tunisia	30£17	32£5	38£4	48£2	50£1	
South Korea	30£5	34£15	42£1	50£81	75£4	
Ghana	27£5	50£1	65£3	250£1	500£2	
Australia	55£9	60£2	100£1	130£1	150£1	200£1
Cameroon	65£5	80£2	130£1	500£2		
Iran	85£4	90£4	100£9	250£1	350£1	500£2
Qatar	200£3	210£2	220£3	700£1	900£2	
Costa Rica	220£2	250£1	260£1	800£1	990£2	
