Richarlison	5.6£10	5.7£10	6£106	6.4£14	6.6£80	6.8£140
Kylian Mbappe	7£73	7.2£10	7.4£13	7.8£39	8£164	8.4£36
Olivier Giroud	8.2£20	9.2£10	9.4£20	9.8£1	10.5£1	11£23
Lionel Messi	12£110	12.5£12	13£1	14£17	14.5£20	15£107
Ferran Torres	14£4	14.5£6	15£2	16.5£22	17£37	17.5£22
Cristiano Ronaldo	16£24	18£1	18.5£1	20£19	21£19	24£7
Cody Gakpo	19.5£20	20£5	21£23	25£3	28£3	29£10
Harry Kane	34£2	38£5	40£2	55£4	60£3	70£1
Bukayo Saka	28£1	30£1	32£5	36£1	60£3	85£5
Alvaro Morata	30£1	40£8	42£4	50£13	55£41	60£5
Lautaro Martinez	34£10	38£10	40£10	50£9	55£2	980£1
Vinicius Junior	1.01£1000	34£2	36£10	42£38	70£1	75£6
Enner Valencia	25£184	26£18	27£4	34£4	36£2	50£4
Neymar	65£2	70£9	75£7	190£2	420£1	440£2
Raheem Sterling	80£1	85£10	100£1	230£3		
Darwin Nunez	60£7	65£12	70£8	85£4	90£49	120£4
Memphis Depay	55£10	60£11	90£19	240£5	1000£2	
Michy Batshuayi	85£3	100£3	110£1	180£1	200£1	210£3
Romelu Lukaku	2£2	85£15	95£11	100£1	130£1	230£1
Gabriel Jesus	95£1	110£4	120£5	200£2		
Marcus Rashford	44£7	110£20	130£6	510£2		
Aleksandar Mitrovic	70£1	100£10	110£8	210£1	440£3	
Robert Lewandowski	32£12	36£7	40£34	85£5	240£5	300£1
Salem Al-Dawsari	200£2	210£5	300£14			
Rafael Leao	80£1	95£5	130£5	180£1	200£1	300£2
Joao Felix	90£16	130£2	140£36	190£3	290£5	880£1
Luis Suarez	110£46	140£2	150£7	190£1	250£1	
Serge Gnabry	130£1	150£1	160£10	690£3	750£1	
Bruno Fernandes	2£1	120£2	220£6	260£2	500£3	
Raphinha	80£1	90£10	180£9	390£9	500£1	1000£2
Antoine Griezmann	100£10	150£3	200£5	250£10	750£3	1000£1
Son Heung-Min		1.01£1000	260£7	1000£1		
Marco Asensio	120£33	230£9	240£7			
Jamal Musiala	44£1	100£10	180£7	440£6	450£1	860£1
Dani Olmo	44£10	170£33	200£12	600£2	990£1	1000£1
Leroy Sane	80£5	85£7	350£1			
Mehdi Taremi	200£4	220£3	240£4	750£2	880£1	
Ansu Fati	100£10	110£6	210£4	570£6		
Kai Havertz	100£10	150£1	180£7	470£1	480£3	
Breel Embolo	90£5	220£1	230£3	480£2	990£1	1000£2
Eden Hazard	100£10	290£1	300£2	500£2		
Pablo Sarabia	100£10	110£8	230£1			
Kasper Dolberg	220£4	230£4	240£3			
Julian Alvarez	2£1	100£10	170£3	500£5	900£2	
Gabriel Martinelli	1.01£1000	100£10	230£5	420£1	590£2	
Christian Pulisic	260£3	300£1	310£1			
Thomas Muller	1.01£1000	100£10	280£3	400£3	850£1	880£1
Niclas Fullkrug	140£5	270£6	280£2			
Steven Bergwijn	100£10	300£23	320£3	990£3		
Ivan Perisic	130£5	280£2	350£3	600£2		
Phil Foden	130£3	140£2	150£9			
Kevin De Bruyne	100£10	110£2	350£14			
Dusan Vlahovic	140£1	300£2	360£5	980£1	990£2	
Ousmane Dembele	150£2	220£5	340£2	550£2	600£2	700£1
Jonathan David	290£5	380£2	390£1			
Boulaye Dia	100£10	210£1	420£15			
Jack Grealish	100£10	400£2	410£4	780£1		
Andrej Kramaric	120£5	130£6	430£4			
Skov Olsen	140£6	400£3	430£5			
Leandro Trossard	1.01£1000	2£1	100£16	680£2		
Edinson Cavani	2£1	270£1	350£7			
Andre Silva	2£1	130£1	480£2			
Ismaila Sarr	100£10	550£1	590£2			
Timothy Weah	390£10	510£2	520£1			
Youssoufa Moukoko	260£3	600£4	610£4			
Luka Modric	510£3	600£5	640£5			
Christian Eriksen	210£4	220£4	650£2	770£1		
Angel Di Maria	260£4	310£1	660£4	1000£1		
Youssef En-Nesyri	100£11	660£4	670£2			
Wout Weghorst	100£10	700£2	710£4			
Dusan Tadic	2£1	100£10	650£6			
Bernardo Silva	720£3	800£3	810£2			
Lois Openda	560£2	800£4	810£3			
Mason Mount	550£2	800£2	910£2			
Hirving Lozano	100£10	220£9	930£5			
Gareth Bale	210£4	700£2	1000£13			
Pedro Abreu dos Santos	2£1	55£10	100£23			
Karim Benzema	2£3	80£1	1000£7			
Diogo Jota		1.01£1000	1000£40			
Timo Werner		1.01£1000	1000£22			
Lucas Ocampos		1.01£1000	1000£70			
Roberto Firmino		1.01£1000	1000£57			
Sadio Mane		1.01£1000	1000£18			
Georginio Wijnaldum		1.01£1000	1000£66			
Haris Seferovic		1.01£1000	1000£42			
Raul Jimenez		1.01£1000	1000£17			
Gerard Moreno		1.01£1000	1000£67			
Paul Pogba		1.01£1000	1000£68			
Vincent Aboubakar		1.01£1000	1000£16			
Dries Mertens		1.01£1000	1000£27			
Sofiane Boufal	100£10	460£1	1000£9			
Yussuf Poulsen	1.01£1000	2£2	1000£50			
Ante Rebic		1.01£1000	1000£67			
Wahbi Khazri		1.01£1000	1000£69			
Martin Braithwaite	2£1	15£116	1000£13			
Kingsley Coman	550£9	600£9	1000£28			
Marco Reus		1.01£1000	1000£59			
Gio Reyna	1.01£1000	340£1	1000£67			
Takumi Minamino		1.01£1000	1000£40			
Donyell Malen		1.01£1000	1000£56			
Luuk de Jong	1.01£1000	2£1	1000£40			
Daryl Dike		1.01£1000	1000£68			
Karl Toko Ekambi		1.01£1000	1000£33			
Ollie Watkins		1.01£1000	1000£66			
