Takuma Asano	320£21	330£6	400£9			
Andre Silva	1.01£1000	2£2	500£3			
Edinson Cavani	2£1	270£1	350£4			
Kylian Mbappe	4£260	4.1£499	4.2£9	4.3£11	4.4£14	4.5£18
Richarlison	7.2£13	7.4£74	7.6£87	8£219	8.2£41	8.4£98
Lionel Messi	9.6£10	9.8£10	10£13	11£96	12.5£43	13£5
Bruno Fernandes	15.5£6	120£2	130£7	230£2	500£2	
Ferran Torres	14£11	14.5£15	15£19	16£18	16.5£90	17£90
Cristiano Ronaldo	17£11	18£11	19£26	24£6	25£3	29£20
Cody Gakpo	19£102	19.5£12	21£17	23£17	24£13	25£2
Olivier Giroud	28£4	30£9	32£12	38£20	40£3	42£5
Enner Valencia	27£4	28£2	29£15	38£6	40£2	42£4
Darwin Nunez	60£1	75£1	80£3	85£29	90£46	100£7
Harry Kane	40£7	42£11	44£2	55£2	60£1	65£3
Karim Benzema	2£3	80£1	1000£7			
Alvaro Morata	40£6	42£10	44£1	50£10	55£9	150£1
Bukayo Saka	40£98	42£15	44£5	50£7	55£3	60£1
Neymar	44£9	65£4	70£1	80£21	110£22	120£2
Vinicius Junior	32£10	44£10	46£6	60£5	75£6	100£7
Lautaro Martinez	60£150	70£9	75£2	100£5	1000£2	
Robert Lewandowski	60£5	65£8	75£13	140£2	180£5	570£2
Aleksandar Mitrovic	70£1	85£2	95£4	440£3		
Raheem Sterling	38£11	50£1	130£4	200£2	220£1	300£3
Romelu Lukaku	10£2	14.5£7	85£17	140£2	150£4	170£3
Memphis Depay	60£11	90£10	100£7	1000£2		
Raphinha	80£1	90£10	180£1	500£4	800£2	960£2
Serge Gnabry	100£10	190£3	200£1	500£1	690£3	750£1
Kai Havertz	60£2	100£10	150£2	320£4	380£2	460£2
Christian Pulisic	250£4	320£1	510£1			
Angel Di Maria	260£4	680£2	690£2	990£2		
Youssef En-Nesyri	660£4	670£2	680£1			
Jack Grealish	100£10	400£2	500£3			
Wout Weghorst	100£10	700£2	710£2			
Dusan Tadic	2£1	100£10	680£1			
Hakim Ziyech	2£2	100£10	1000£4			
Cyle Larin	2£1	100£10	1000£3			
Mason Mount	100£10	800£2	930£2			
Ismaila Sarr	100£10	570£1	620£1			
Famara Diedhiou	2£1	100£3	1000£4			
Julian Alvarez	100£10	210£3	250£1			
Leandro Trossard	16.5£1	100£10	400£6			
Gabriel Jesus	80£7	110£4	140£3	150£1	180£17	190£2
Michy Batshuayi	75£10	100£1	110£3	120£1	150£25	180£2
Pablo Sarabia	100£10	110£8	280£2			
Thomas Muller	100£10	120£50	280£1	400£3		
Andrej Kramaric	120£5	130£6	430£3			
Son Heung-Min	50£100	130£22	140£9	620£5		
Rafael Leao	80£1	95£5	150£10	200£1	300£2	900£3
Skov Olsen	140£6	400£3	470£4			
Dusan Vlahovic	85£5	100£71	150£11	300£1	980£1	
Leroy Sane	75£10	80£5	150£25			
Joao Felix	140£34	170£7	180£6	230£3	880£1	890£2
Marcus Rashford	120£2	200£4	210£6	490£1	510£1	
Pedro Abreu dos Santos	55£10	160£22	190£5	990£2		
Luis Suarez	140£2	170£6	190£4	250£1	1000£1	
Antoine Griezmann	200£25	230£4	240£2	750£2	1000£1	
Bernardo Silva	720£3	800£3	810£1			
Mehdi Taremi	120£1	160£7	200£23	880£2		
Dani Olmo	170£33	200£3	220£7	900£2	1000£1	
Phil Foden	160£3	210£25	220£5			
Breel Embolo	85£10	90£5	210£12	980£1	990£1	1000£2
Christian Eriksen	190£3	210£4	310£5	830£1		
Salem Al-Dawsari	300£5	310£1	320£4			
Jamal Musiala	180£5	200£25	210£13	320£3	330£3	860£1
Kasper Dolberg	220£4	240£1	320£3			
Hirving Lozano	100£10	220£9	930£4			
Jonathan David	290£5	330£3	450£1			
Gabriel Martinelli	16£3	100£10	230£13	400£17	420£1	590£2
Marco Asensio	120£33	230£9	240£4	500£2	800£2	
Ansu Fati	100£10	250£20	280£1			
Ousmane Dembele	250£10	320£2	350£2			
Youssoufa Moukoko	260£3	600£4	610£2			
Niclas Fullkrug	140£5	270£6	280£14	1000£1		
Eden Hazard	150£100	290£1	320£8	500£2		
Steven Bergwijn	42£10	100£10	390£19	990£3		
Ivan Perisic	130£5	280£2	350£13	600£2		
Kevin De Bruyne	100£10	390£13	400£1			
Boulaye Dia	210£1	430£1	440£13			
Sofiane Boufal	100£10	460£1	1000£9			
Timothy Weah	500£19	510£2	600£1			
Lois Openda	560£2	800£4	810£2			
Luka Modric	510£3	600£5	640£4	860£4		
Gareth Bale	210£4	700£2	1000£8			
Diogo Jota		1.01£1000	1000£38			
Timo Werner		1.01£1000	1000£21			
Lucas Ocampos		1.01£1000	1000£67			
Roberto Firmino		1.01£1000	1000£54			
Sadio Mane		1.01£1000	1000£16			
Georginio Wijnaldum		1.01£1000	1000£64			
Haris Seferovic		1.01£1000	1000£40			
Raul Jimenez		1.01£1000	1000£15			
Gerard Moreno		1.01£1000	1000£65			
Paul Pogba		1.01£1000	1000£66			
Vincent Aboubakar		1.01£1000	1000£16			
Dries Mertens		1.01£1000	1000£25			
Yussuf Poulsen	1.01£1000	2£2	1000£49			
Ante Rebic		1.01£1000	1000£64			
Wahbi Khazri		1.01£1000	1000£66			
Martin Braithwaite	2£1	15£116	1000£12			
Kingsley Coman	550£9	600£9	1000£26			
Marco Reus		1.01£1000	1000£57			
Gio Reyna	1.01£1000	340£1	1000£64			
Takumi Minamino		1.01£1000	1000£36			
Donyell Malen		1.01£1000	1000£54			
Luuk de Jong	1.01£1000	2£1	1000£39			
Daryl Dike		1.01£1000	1000£65			
Karl Toko Ekambi		1.01£1000	1000£30			
Ollie Watkins		1.01£1000	1000£64			
Alexis Vega		1.01£1000	1000£15			
Toni Kroos		1.01£1000	1000£62			
Almoez Ali		1.01£1000	1000£40			
Krzysztof Piatek	1.01£1000	80£1	1000£53			
Michael Estrada		1.01£1000	1000£14			
Jonas Wind	1.01£1000	2£3	1000£39			
Leon Goretzka	1.01£1000	8£7	1000£59			
Hwang Hee-Chan		1.01£1000	1000£65			
Yuya Osako		1.01£1000	1000£61			
Sardar Azmoun		1.01£1000	1000£57			
Xherdan Shaqiri		1.01£1000	1000£46			
Mario Gavranovic		1.01£1000	1000£67			
Andre Ayew	65£1	500£1	1000£16			
Stephen Eustaquio		1.01£1000	1000£67			
Achraf Hakimi		1.01£1000	1000£64			
Gyasi Zardes		1.01£1000	1000£67			
Paul Arriola		1.01£1000	1000£67			
Alphonso Davies		1.01£1000	1000£50			
Seifeddine Jaziri		1.01£1000	1000£66			
Akram Afif		1.01£1000	1000£49			
Thomas Partey		1.01£1000	1000£67			
Junior Hoilett		1.01£1000	1000£66			
Saleh Al-Shehri		1.01£1000	1000£47			
Arkadiusz Milik		1.01£1000	1000£49			
Kieffer Moore		1.01£1000	1000£12			
Mohammed Kudus		1.01£1000	1000£54			
James Maddison	1.01£1000	2£2	1000£49			
Vincent Janssen	50£20	95£3	1000£53			
Aaron Ramsey			1000£52			
Marko Livaja	2£3	550£9	1000£11			
Junya Ito	2£2	400£7	1000£21			
Daizen Maeda		2£2	1000£12			
Davy Klaassen	600£1	700£9	1000£11			
