Kylian Mbappe	3.95£155	4£112	4.1£146	4.5£75	4.6£94	4.7£10
Richarlison	6.2£115	6.4£48	6.6£45	7£175	7.2£311	7.4£53
Lionel Messi	9.8£31	10£110	10.5£90	11£85	11.5£10	
Cristiano Ronaldo	17.5£10	18£14	18.5£20	21£250	22£35	23£13
Cody Gakpo	18.5£5	19£23	19.5£9	22£2	23£2	27£10
Alvaro Morata	20£38	21£22	22£1	23£10	24£20	27£9
Olivier Giroud	29£4	30£1	32£29	34£36	36£22	40£4
Ferran Torres	23£7	25£8	26£1	29£10	30£24	36£14
Enner Valencia	28£15	29£14	30£35	40£1	44£1	46£10
Bukayo Saka	34£2	40£93	42£25	48£12	55£12	60£20
Harry Kane	40£23	42£3	46£5	60£1	65£13	70£7
Vinicius Junior	44£10	46£20	48£4	55£9	85£10	260£1
Neymar	55£2	60£17	65£12	70£16	75£10	95£1
Andrej Kramaric	50£11	60£16	65£39	85£81	95£1	100£25
Darwin Nunez	48£10	50£5	55£9	85£2	90£39	130£2
Robert Lewandowski	85£2	100£1	110£3	140£2	570£2	
Lautaro Martinez	60£150	70£8	85£3	100£4	1000£2	
Memphis Depay	60£11	90£11	95£3	240£2	480£1	500£2
Romelu Lukaku	85£13	100£10	110£2	850£3	900£2	1000£1
Gabriel Jesus	65£3	110£4	120£8	140£2	150£11	200£2
Aleksandar Mitrovic	70£1	85£2	150£6	310£7	360£15	440£3
Raheem Sterling	18.5£4	38£12	120£3	300£3	1000£1	
Jamal Musiala	100£10	140£1	150£2	1000£10		
Rafael Leao	80£2	85£1	140£3	220£2	230£1	280£2
Kai Havertz	100£10	150£3	160£2	260£1		
Raphinha	90£10	140£1	150£6	370£2	390£1	400£1
Michy Batshuayi	120£2	150£2	160£2	890£1	900£2	
Bruno Fernandes	19£5	120£2	160£8	450£3	470£5	500£2
Serge Gnabry	130£11	150£2	230£1	330£1	750£1	
Dusan Vlahovic	110£1	160£10	170£12	300£1	400£1	
Niclas Fullkrug	80£10	140£5	160£25	290£15	300£1	330£2
Marko Livaja	2£3	100£10	210£17			
Luis Suarez	170£6	220£2	230£4	290£9	1000£1	
Mehdi Taremi	120£1	160£7	200£24	590£1	880£2	
Thomas Muller	150£1	180£5	220£10			
Joao Felix	180£6	200£7	220£7	300£2	330£2	880£1
Breel Embolo	90£5	200£1	220£1	360£24	980£1	990£1
Phil Foden	210£25	220£4	230£2	1000£2		
Gabriel Martinelli	20£3	100£10	230£15	400£14	420£1	590£2
Son Heung-Min	140£7	150£22	240£1	1000£1		
Pedro Abreu dos Santos	230£1	240£1	250£2	990£2		
Antoine Griezmann	110£2	200£25	210£2	750£2	1000£1	
Marcus Rashford	230£1	260£15	270£4	430£1	510£1	
Julian Alvarez	210£3	250£1	260£1			
Pablo Sarabia	100£10	110£8	280£3			
Ansu Fati	160£3	250£20	280£2			
Kevin De Bruyne	100£10	250£2	300£4			
Christian Pulisic	100£10	250£3	310£1	1000£4		
Christian Eriksen	190£3	210£4	320£5			
Leroy Sane	200£1	230£4	360£14			
Kasper Dolberg	220£4	320£3	350£2			
Marco Asensio	80£5	85£8	340£17	900£2		
Edinson Cavani	3£255	270£1	350£6			
Ivan Perisic	130£5	280£2	350£2			
Dani Olmo	200£3	210£4	600£5	1000£1		
Salem Al-Dawsari	320£4	350£1	1000£5			
Ousmane Dembele	250£10	600£3	610£2			
Leandro Trossard	20£1	100£10	410£5			
Steven Bergwijn	100£10	410£10	420£1			
Boulaye Dia	210£1	430£1	480£14			
Skov Olsen	400£3	470£3	500£5			
Jack Grealish	100£10	400£2	520£3			
Andre Silva	2£1	130£1	510£2			
Timothy Weah	510£2	600£1	620£11			
Ismaila Sarr	100£10	560£1	650£1			
Luka Modric	260£2	510£3	650£5			
Dusan Tadic	2£1	100£10	680£3			
Youssef En-Nesyri	660£4	670£2	680£1			
Angel Di Maria	100£10	260£4	680£2	990£1		
Youssoufa Moukoko	260£3	600£4	700£15			
Bernardo Silva	200£7	800£3	810£2			
Lois Openda	560£2	800£4	810£4			
Hirving Lozano	100£10	220£9	930£4			
Mason Mount	100£10	800£2	940£2			
Wout Weghorst	100£10	700£2	1000£3			
Famara Diedhiou	1.01£1000	2£1	1000£7			
Hakim Ziyech	100£10	250£1	1000£7			
Cyle Larin	2£1	100£10	1000£3			
Karim Benzema	2£3	80£1	1000£7			
