Spain	1.27£8	1.35£920	1.38£3	1.46£3	1.47£10	1.49£5
Brazil	1.25£20	1.27£122	1.29£824	1.3£3233	1.34£12	1.35£2000
France	1.32£920	1.33£2	1.34£3	1.4£22	1.41£3	1.44£14
England	1.37£65	1.41£29	1.42£11	1.49£1	1.5£41	1.52£6
Netherlands	1.53£10	1.54£3	1.55£10	1.6£12	1.64£3	1.65£3
Portugal	1.84£19	1.85£10	1.86£4	1.9£16	2£3	2.02£10
Argentina	1.95£317	1.98£414	2£10	2.28£10	2.38£10	
Germany	1.86£78	1.9£20	1.91£1	2.08£1	2.1£4	2.12£261
Croatia	3.5£6	3.55£1	3.6£1	3.95£2	4£21	4.5£10
Denmark	3.15£20	3.7£13	3.75£11	4.4£4	4.5£10	
Switzerland	4£18	4.1£10	4.2£1	4.9£10	5£8	5.2£20
USA	3.4£3	4.5£120	4.6£30	5.8£2	6£10	9£3
Morocco	2.68£20	3.05£1	4.1£26	4.7£2	4.8£15	4.9£5
Ecuador	4£30	4.1£5	4.3£9	4.6£1	4.7£10	4.8£1
Poland	1.1£43	4.1£10	4.8£21	6£10	7£10	
Belgium	4.6£25	5£10	5.1£2	6.6£10		
Uruguay	4.5£10	4.6£8	4.8£1	5.1£25	5.3£5	
Serbia	4.6£10	5.1£10	6.6£161			
Iran	4.8£1	7£55	7.4£3	11.5£10	12.5£10	21£1
Senegal	7.4£19	7.6£4	7.8£1	10£1	11£10	
Australia	8.4£8	10£20	10.5£3	15£5	17.5£7	18£2
Japan	5£20	11£10	12£5	17.5£7	20£10	
South Korea		1.26£17	10.5£11	15£11	15.5£2	
Ghana	11£6	12.5£10	15£5	23£5		
Saudi Arabia	1.3£12	13.5£4	14£17	24£4	26£2	28£5
Mexico	10£20	12£9	13£10	17£5	26£5	
Costa Rica		1.34£8	21£10	90£2	100£2	
Tunisia		1.37£5	30£10	100£2		
Wales		1.38£5	34£5	100£2		
Cameroon		1.35£7	22£8	150£3		
