Brazil	1.81£40	1.82£5	1.83£4	1.96£10	1.97£7	1.98£20
France	2.04£98	2.14£400	2.16£3	2.24£10	2.26£200	2.28£20
Spain	2.5£20	2.56£10	2.58£39	2.94£2	3£10	3.05£10
Argentina	2.72£20	2.74£4	2.76£10	3.05£3	3.1£10	3.2£2
England	2.76£15	2.84£5	2.86£1	3.1£5	3.2£10	3.25£20
Netherlands	2.98£20	3£21	3.15£30	3.35£25	3.4£10	7.8£3
Portugal	3.2£170	3.25£14	3.3£13	3.75£2	3.8£10	
Germany	2.88£11	3.35£14	3.4£10	3.65£5	3.7£10	3.8£23
Denmark	7£2	7.8£4	8£6	8.6£1	8.8£14	9.4£5
Croatia	1.45£22	7£17	8.4£11	10.5£5	11£3	12£100
Ecuador	9£10	9.2£10	12£1	13.5£7	14£3	38£2
Uruguay	9.6£12	9.8£10	10£4	11.5£20	12£9	13£31
Switzerland	9£10	9.6£2	9.8£5	11.5£5	12£3	
Belgium	10.5£2	11£2	11.5£5	16£7	16.5£5	990£2
Morocco	10.5£10	11.5£7	12£6	15.5£2	16£7	16.5£5
USA	12.5£2	13£5	15£1	16.5£5	17£5	17.5£3
Poland	11£9	12£4	14£3	14.5£5	15.5£5	
Serbia	11£10	13.5£2	14.5£10	16£2		
Iran	17.5£5	18£10	18.5£5	34£6	36£145	95£2
Japan	21£10	22£5	30£2	46£5	55£5	
Mexico	24£5	25£5	30£2	38£7	55£5	75£5
Senegal	24£5	25£5	29£1	32£8	34£5	
South Korea	30£5	32£5	34£1	44£56	65£5	
Australia	29£3	32£5	34£5	46£4	50£5	55£5
Saudi Arabia	17£10	40£6	42£5	85£6	90£5	95£5
Tunisia	55£5	60£5	65£1	300£1		
Ghana	60£3	65£2	70£6	100£1	110£5	
Wales	65£3	70£5	75£7	500£1		
Cameroon	17£4	100£5	110£6	200£5		
Costa Rica	75£4	100£4	110£5	500£1		
