Brazil	1.1€45	1.22€28	1.28€53	1.33€57	1.39€12	1.4€180
France	1.28€25	1.29€2122	1.3€14	1.38€166	1.4€23	1.44€17
Spain	1.01€507	1.26€23	1.27€22	1.48€23	1.5€17	
England	1.36€56	1.44€301	1.46€86	1.5€35	1.53€19	1.54€23
Portugal	1.4€37	1.5€23	1.57€69	1.75€54	2€12	
Netherlands		1.01€371	1.51€19	1.62€141	1.65€36	
Germany	1.51€33	1.75€292	1.8€208	1.95€117	2.06€18	2.08€415
Argentina	1.67€23	1.72€23	1.8€224	1.98€428	2.1€51	2.28€12
Switzerland	2.6€33	3.5€23	3.6€18	4.9€19	5.2€11	6€5
Croatia		1.25€76	3.6€30	3.95€499	4.5€11	
Denmark	3.1€14	3.15€29	3.7€14	4.3€80	4.5€11	
Morocco	3.5€23	3.75€28	3.9€82	4.4€14	4.5€197	4.8€17
Ecuador	1.29€64	2.5€17	4€34	4.5€136	4.9€10	
Poland	1.33€56	4€23	4.3€26	5.9€88	7€11	
Belgium	4.6€28	5€11	5.1€16	6.6€15		
USA	4.7€138	4.8€15	5.2€53	6€12	9€9	
Uruguay	1.47€42	6.2€13	6.4€23	11€11	13€11	
Ghana	1.6€29	5.5€23	6.6€27	15€13		
Serbia	6.8€244	7€13	8.2€57	10€11	13€2	
Iran	7€64	7.4€46	8€11	11.5€11	21€1	
Senegal		1.54€28	7.4€25	11€17		
Australia	1.58€22	7€23	9.4€43	17€16	19€6	
Japan	1.62€19	5€23	11€11	20€15		
Mexico	1.67€15	10€33	13.5€21	21€11		
Saudi Arabia		1.68€19	14€20	22€11	24€5	
South Korea		1.74€10	20€11	1000€7		
Costa Rica		1.75€9	21€11	100€5		
Cameroon		1.77€11	25€20	250€2		
Tunisia			1.79€14	100€2		
Wales		1.8€5	17€11	100€2		
