Brazil	1.7€1218	1.76€26	1.81€28	1.93€11	2€28	2.12€27
France	1.8€1088	2€23	2.02€202	2.22€33	2.24€19	2.28€69
Spain	2.5€23	2.62€79	2.64€43	3€20	3.05€11	3.25€11
Portugal	2.66€13	2.78€24	2.82€210	3.1€22	3.2€115	3.8€11
Argentina	1.41€106	2.7€41	2.78€28	3.25€17	10€28	
England	2.5€23	2.74€11	2.8€19	3.05€26	3.2€15	4€5
Netherlands	2.74€23	2.78€17	3€20	3.25€33	3.3€228	3.4€11
Germany	3€23	3.05€38	3.1€19	3.45€114	3.7€15	3.85€73
Uruguay	2.5€23	4.3€21	11€12	21€11	40€17	
Denmark	2€28	5€11	7€15	8.6€31	50€6	
Croatia	2.06€29	7€20	7.6€16	14€7		
Switzerland	2.14€24	7€22	9€12	13.5€13	14€11	14.5€2
Ecuador	2.16€22	9€11	9.2€15	16€20	18€24	40€3
Serbia	2.22€20	5€23	10€25	34€13		
Belgium		2.24€26	10.5€14	16€8		
Poland	2.26€14	9€16	11.5€21	16.5€13	17.5€13	28€1
Morocco	10€12	10.5€13	12.5€11	14.5€91	17€19	
USA	2.32€26	11€20	11.5€16	20€24		
Iran	1.01€12	11€17	18€17	29€158	95€12	
Senegal	2.52€11	22€13	24€29	34€14		
Ghana		2.54€6	13.5€13	60€2		
Japan	2.6€5	15€23	21€20	55€8		
Mexico	2.6€15	18€16	32€32	55€8		
Australia			2.6€15	80€15	100€8	
Saudi Arabia		2.64€4	17€16	190€5		
Tunisia			34€11			
South Korea	2.68€3	13€17	34€11	200€13	250€2	
Wales			2.72€13	500€1		
Cameroon			500€12			
Costa Rica		2.78€1	75€12	500€1		
