Brazil	3.5€23788	3.55€24257	3.6€5120	3.65€11025	3.7€1168	3.75€171
France	6.4€314	6.6€1661	6.8€16797	7€6357	7.2€24121	7.4€2249
Spain	7.8€21	8€13399	8.2€15907	8.4€10078	8.6€10315	8.8€362
Argentina	9.2€4246	9.8€147	10€22701	10.5€15458	11€1915	11.5€198
England	10.5€7473	11€15743	11.5€12228	12€8389	12.5€9977	13€444
Portugal	13€887	13.5€9375	14€8410	14.5€6484	15€401	15.5€927
Germany	13.5€549	14€2813	14.5€8396	15€6643	15.5€7502	16€675
Netherlands	17.5€5389	18€3932	18.5€1965	19€2398	19.5€166	20€148
Croatia	55€85	60€1090	65€188	70€705	75€553	80€25
Denmark	70€95	75€727	80€497	85€282	90€182	95€12
Belgium	75€200	80€538	85€70	90€193	95€27	200€14
Ecuador	110€208	120€156	130€325	150€297	160€66	170€122
Switzerland	100€116	120€34	130€269	150€201	160€24	180€123
Uruguay	90€60	120€170	130€147	150€166	160€131	170€123
Morocco	150€152	160€162	170€230	190€87	200€33	220€17
Serbia	170€23	180€31	200€18	240€57	270€12	280€28
Poland	230€29	240€51	250€41	290€15	300€29	330€12
USA	230€179	240€23	250€81	270€262	290€15	1000€18
Senegal	300€536	330€16	360€75	400€76	410€14	430€21
Ghana	450€16	480€25	500€25	720€17	940€16	1000€6
Iran	540€188	580€19	600€255	660€21	670€19	790€44
Australia	520€16	560€22	610€30	690€16	700€23	1000€2
Mexico	85€13	410€16	600€26	800€25	900€14	
Saudi Arabia	570€16	680€15	690€12	850€15	890€42	1000€17
Japan	730€47	780€16	800€22	880€15	990€10	
Cameroon	250€13	560€214	1000€844			
Wales	200€24	330€28	1000€651			
Tunisia	400€14	450€22	1000€623			
South Korea	220€12	470€20	1000€468			
Costa Rica	400€11	720€21	1000€1587			
