Brazil	1.8€26	1.81€32	1.82€41	1.84€343	1.85€11	1.88€395
France	2.02€601	2.04€183	2.08€148	2.16€129	2.28€69	2.3€693
England	2.66€335	2.68€135	2.7€50	2.96€269	2.98€25	9€5
Argentina	2.64€150	2.66€23	2.68€99	3.05€80	3.1€70	3.25€20
Spain	2.72€35	2.74€197	2.78€20	3€11	3.05€11	3.25€16
Portugal	2.76€35	2.78€24	2.8€49	2.82€655	2.86€10	
Netherlands	2.78€35	2.8€92	2.86€14	3.1€195	3.4€11	9€3
Germany	3.25€38	3.35€13	3.45€23	3.55€53	3.7€11	4.5€11
Denmark	7.6€22	8.2€11	8.4€64	8.6€13	8.8€98	9€11
USA	8€20	8.4€87	9€49	9.8€12	11€64	12€11
Croatia	8.6€76	9€67	9.4€34	9.8€97	10€100	12€19
Switzerland	9.6€80	9.8€74	10€49	13€16		
Poland	11€17	11.5€64	12€19	15€11	16€15	17.5€11
Morocco	10.5€12	12.5€64	13€16	16€11	17€11	
Belgium	12€77	13€38	13.5€15	17€15		
Senegal	12€83	13€45	13.5€15	18€8		
Serbia	15.5€44	16€45	16.5€11	23€17	25€2	
Uruguay	16€65	17€57	17.5€14	25€11	34€37	40€10
Japan	15€16	30€22	34€15	60€5		
Ghana	1.01€9	32€18	36€16	100€8		
Mexico	1.01€15	18€16	34€36	55€5		
Saudi Arabia	1.01€10	36€16	40€20	180€11		
Australia	1.01€16	38€22	44€20	80€11		
Tunisia	1.01€9	50€12	65€18	740€15		
South Korea	30€11	60€18	75€16	200€3		
Costa Rica		1.01€5	100€16	500€1		
Cameroon	1.01€1	13.5€12	130€12	980€12	990€2	
