Brazil	2.56€35	2.58€58	2.62€25	2.66€24	2.7€538	1000€1
France	3.25€418	3.3€32	3.35€116	3.45€2143	3.55€116	3.65€39
Argentina	1.33€62	3.25€241	3.5€12	3.75€116	3.95€136	1000€6
Spain	4.5€260	4.6€23	4.7€235	5.5€22	1000€5	
England	4€175	4.1€30	4.6€22	5€58	5.1€464	5.2€24
Portugal	5.3€506	5.5€16	5.6€29	5.7€1341	5.8€16	6.4€11
Germany	6€57	6.4€22	6.6€15	7€26	7.2€457	7.6€74
Netherlands	8.4€120	8.6€24	9€23	10.5€11	1000€1	
Croatia	17€11	19.5€23	20€54	25€23	27€49	30€124
Belgium	26€18	27€11	30€12	42€56	50€11	1000€1
USA		1.01€12	36€26	55€11	60€62	
Senegal	21€11	44€13	46€13	700€8		
Morocco			2.02€13	65€15	700€6	
Uruguay	17€37	42€35	44€22	60€46	65€11	
Switzerland	32€14	34€11	36€13	48€57	700€10	
Serbia	2.06€3	34€11	50€43	700€5		
Poland	2.06€2	50€13	55€13	110€39	160€13	
Japan	2.1€1	50€12	100€15	700€1		
Australia	2.1€1	50€11	100€13	290€13		
Ghana		2.12€1	100€13	700€3		
South Korea			2.12€5	990€2		
Cameroon			100€22	990€2		
Costa Rica			990€10			
