Kylian Mbappe	3.9€74	4€25	4.1€177	4.6€56	4.8€34	5€103
Lionel Messi	8.2€121	8.4€103	8.6€74	8.8€56	9€163	9.8€24
Richarlison	9.6€60	9.8€85	10€158	11.5€40	12.5€23	14.5€12
Cody Gakpo	13.5€15	14€24	15€13	18€25	19€23	22€28
Marcus Rashford	15€207	15.5€84	16€50	17€52	18€54	21€38
Alvaro Morata	19€23	20€53	21€54	27€13	28€33	
Ferran Torres	3.6€17	16.5€37	27€29	34€23	38€19	40€16
Olivier Giroud	30€11	32€19	34€12	38€29	44€35	50€6
Cristiano Ronaldo	26€34	28€15	30€18	42€14	46€20	1000€11
Bruno Fernandes	3.75€23	32€24	38€17	55€26	70€13	500€9
Harry Kane	13€19	44€134	55€15	130€12	990€4	
Andrej Kramaric	46€20	55€24	60€17	75€11	90€22	95€12
Niclas Fullkrug	5€64	50€11	60€20	80€16	250€15	870€1
Bukayo Saka	42€31	48€11	50€129	160€11	250€2	
Robert Lewandowski	3.9€16	46€31	70€127	1000€7		
Vinicius Junior	1.01€1164	8.2€18	75€21	1000€12		
Darwin Nunez	1.01€1395	3.95€15	40€31	1000€10		
Julian Alvarez	42€40	48€29	50€12	700€9		
Phil Foden	1.01€1171	80€19	100€123	1000€4		
Raheem Sterling	1.01€1161	1.02€235	100€20	1000€4		
Lautaro Martinez	6.2€11	18€20	100€23	1000€11		
Neymar	75€33	85€34	100€25	1000€11		
Kai Havertz	1.01€1161	1.02€240	100€18	490€2		
Leroy Sane	3.95€15	90€11	100€29	1000€9		
Aleksandar Mitrovic	1.01€1166	48€17	100€19	400€29	440€4	
Romelu Lukaku	2€16	85€15	100€22	1000€11		
Thomas Muller	1.01€1171	100€11	110€12	460€10		
Marko Livaja	100€22	120€29	190€17	750€27	900€29	
Rafael Leao	1.01€1166	75€13	150€13			
Serge Gnabry	1.01€1161	2€13	100€20	1000€8		
Jamal Musiala	1.01€1169	100€11	140€12	970€12		
Antoine Griezmann	1.01€1169	100€21	150€11	1000€6		
Luis Suarez	100€11	110€57	170€15	340€6		
Raphinha	1.01€1163	2.02€585	90€22	1000€6		
Gabriel Jesus	1.01€1166	85€11	100€21	440€32	930€4	
Ansu Fati		1.01€1169	280€11			
Joao Felix	75€11	120€23	170€22	850€24		
Karim Benzema	1.01€1161	2€14	200€67			
Michy Batshuayi		1.01€1170	100€23			
Memphis Depay	4€22	11€11	42€18			
Breel Embolo		1.01€1171	85€21	1000€5		
Dusan Vlahovic	1.01€1166	100€70	110€23			
Marco Asensio	2€11	90€19	260€13	1000€6		
Jack Grealish	1.01€1164	40€38	250€52			
Mohammed Kudus	230€27	250€35	270€12	1000€4		
Timothy Weah	50€116	100€12	150€13			
Pedro Abreu dos Santos		1.01€1165	230€12			
Gabriel Martinelli	1.01€1166	100€13	250€12	800€12	1000€3	
Christian Pulisic	1.01€1162	100€11	250€14			
Kevin De Bruyne	12€19	100€11	320€14			
Dani Olmo	2€8	75€11	200€15	1000€3		
Edinson Cavani	1.01€1164	3€296	300€13			
Ivan Perisic		1.01€1161	280€13			
Angel Di Maria		1.01€1164	260€12	990€1		
Leandro Trossard		1.01€1163	4.1€11			
Bernardo Silva	1.01€1163	200€12	610€14			
Andre Silva		1.01€1161	2€13			
Pablo Sarabia		1.01€1164	520€11			
Son Heung-Min			1.01€1171			
Boulaye Dia		1.01€1168	700€15			
Youssef En-Nesyri		1.01€1161	100€21			
Ismaila Sarr	1.01€1168	100€17	200€16			
Luka Modric	1.01€1161	100€11	260€13			
Steven Bergwijn		1.01€1164	36€16			
Youssoufa Moukoko	1.01€1161	2€14	700€25			
Lois Openda		1.01€1161	560€12			
Ousmane Dembele	1.01€1165	100€11	350€12			
Eden Hazard			1.01€1169			
Haris Seferovic		1.01€1162	1000€52			
Gerard Moreno		1.01€1161	1000€81			
Vincent Aboubakar	1.02€1161	2€116	1000€20			
Dries Mertens		1.01€1161	1000€33			
Sofiane Boufal		1.01€1165	1000€19			
Kingsley Coman	300€13	550€20	1000€43			
Wout Weghorst		1.01€1161	2€13			
Gio Reyna		1.01€1161	1000€81			
Takumi Minamino		1.01€1163	1000€47			
Luuk de Jong		1.01€1161	1000€52			
Daryl Dike		1.01€1161	1000€82			
Karl Toko Ekambi		1.01€1161	1000€41			
Dusan Tadic		1.01€1163	120€16			
Hakim Ziyech		1.01€1166	1000€12			
Krzysztof Piatek		1.01€1162	1000€67			
Mason Mount		1.01€1161	2€13			
Leon Goretzka		1.01€1161	1000€74			
Hwang Hee-Chan		1.01€1161	1000€83			
Yuya Osako		1.01€1161	1000€77			
Xherdan Shaqiri		1.01€1161	1000€60			
Andre Ayew		1.01€1163	1000€24			
Achraf Hakimi		1.01€1161	1000€80			
Gyasi Zardes		1.01€1161	1000€85			
Paul Arriola		1.01€1161	1000€85			
Thomas Partey		1.01€1161	1000€85			
Famara Diedhiou		1.01€1161	2€12			
Arkadiusz Milik		1.01€1161	1000€62			
James Maddison		1.01€1163	1000€61			
Vincent Janssen	1.01€1161	50€27	1000€68			
Junya Ito		2€10	1000€32			
Daizen Maeda		2€4	1000€21			
Davy Klaassen		400€19	1000€64			
Takuma Asano	2€5	400€13	1000€46			
