Brazil	2.24€283	2.26€413	2.36€23	2.46€69	2.48€46	2.5€492
France	3.35€95	3.4€56	3.45€26	3.5€187	3.8€44	3.85€140
Argentina	3.2€185	3.25€68	3.5€15	3.7€250	3.75€11	3.8€56
Spain	3.5€32	3.55€227	3.75€11	3.95€17	4€37	4.5€317
England	5€125	5.1€26	5.2€51	5.4€58	5.5€147	5.6€58
Portugal	5.6€126	5.9€68	6€47	700€11	1000€1	
Netherlands	7.4€161	8€303	8.6€25	9€57	9.4€116	10€13
Croatia	12€11	12.5€87	15.5€13	17€63	17.5€51	18€73
USA	1.01€7	30€60	32€39	55€18		
Morocco	1.74€5	30€38	32€25	700€6		
Japan		1.73€12	28€29	700€7		
Switzerland	32€18	34€69	44€13	700€9		
Uruguay	32€11	40€11	42€12	60€46	65€11	
Poland	1.78€2	48€12	55€15	700€1		
Senegal	1.01€10	46€12	55€12	700€8		
Australia	1.01€3	1.8€12	100€12	160€21	700€6	
Serbia	1.79€2	48€11	70€12	700€3		
Ghana		1.81€1	100€17	700€4		
Cameroon			150€13	750€2		
South Korea			1.82€8	990€2		
