Brazil	1.5€35	1.51€185	1.58€156	1.59€490	1.7€58	
Argentina	1.63€19	1.64€327	1.65€11	1.73€36	1.75€23	1.77€46
France	1.8€18	1.83€29	1.86€715	2€68	2.08€15	2.78€113
Spain	2.2€35	2.22€25	2.24€126	2.38€23	2.5€404	2.7€120
England	2.64€169	2.66€40	2.68€117	2.84€58	2.86€32	2.88€13
Portugal	2.7€383	2.72€393	2.74€93	3.3€72		
Netherlands	3.4€147	3.45€40	3.55€32	3.9€14	3.95€20	4€105
Croatia	5€167	5.4€138	5.6€14	5.9€456	6€11	7€11
USA	8.6€87	8.8€11	9€103	12€77	13€69	18€63
Japan	9€57	9.6€76	10.5€19	16€20	17€11	40€6
Switzerland	10.5€61	11€101	11.5€60	14€22		
Morocco	9.2€50	10.5€61	12.5€18	15€11	17€25	18€11
Uruguay	1.01€16	11€11	12.5€47	18.5€94	21€25	40€10
Senegal	14€15	15€12	15.5€88	21€15	38€6	
Serbia	14€23	15€99	16.5€27	23€11		
Poland	15.5€18	18€59	19€27	40€4		
Australia	17.5€18	18€15	22€35	46€11		
Ghana	20€11	29€11	30€14	70€8		
South Korea	1.01€12	25€13	65€16	500€3		
Cameroon		1.01€6	50€12	800€2		
