Kylian Mbappe	3€123	3.8€58	3.85€52	3.95€184	4€50	4.1€129
Lionel Messi	7€135	7.2€405	7.4€294	7.6€120	7.8€21	8.4€38
Richarlison	11€21	12€56	12.5€80	13€15	13.5€11	14€16
Cody Gakpo	11.5€63	12€52	12.5€100	14€66	15€24	15.5€11
Marcus Rashford	12.5€59	13€38	13.5€54	14€30	14.5€41	15€62
Alvaro Morata	12.5€11	13.5€20	14€57	14.5€35	15€70	18€19
Olivier Giroud	28€51	30€48	32€37	36€49	44€12	46€11
Cristiano Ronaldo	38€127	50€53	55€15	70€20	250€6	
Ferran Torres	25€20	28€11	32€36	65€12	750€9	
Bruno Fernandes	40€16	42€14	44€23	60€45	75€12	
Bukayo Saka	42€31	48€28	55€46	60€29	250€12	
Harry Kane	44€124	46€52	55€31	80€21	95€12	100€12
Andrej Kramaric	1.01€1169	48€19	60€20	130€19		
Julian Alvarez	48€11	50€45	55€20	130€15	1000€13	
Breel Embolo	80€15	95€49	120€31	250€10		
Vinicius Junior	8.2€20	60€15	65€20	280€2		
Neymar	85€12	100€14	110€27	990€4		
Lautaro Martinez	18€21	100€17	120€30	220€22	680€12	
Phil Foden	85€19	100€98	120€20	1000€7		
Raheem Sterling	1.01€1170	100€15	130€15	650€12	990€2	
Gabriel Jesus	80€11	100€11	110€69	230€10		
Robert Lewandowski	46€32	100€22	180€14	320€18	740€1	
Raphinha	100€11	120€12	180€16	1000€6		
Joao Felix	75€11	170€15	180€31			
Antoine Griezmann	100€15	120€37	130€12	1000€6		
Gabriel Martinelli		1.01€1169	20€14	800€12		
Pedro Abreu dos Santos		1.01€1168	200€13			
Rafael Leao		1.01€1172	75€17			
Karim Benzema		1.01€1176	150€12			
Memphis Depay	4€17	11€11	100€21	900€2		
Timothy Weah	50€116	100€11	150€15			
Christian Pulisic	1.01€1171	100€11	250€11	1000€2		
Jack Grealish	1.01€1170	40€36	330€11	1000€3		
Dani Olmo	2€13	100€11	300€14			
Marko Livaja	2€9	100€11	120€13	900€11		
Marco Asensio	65€14	100€11	300€18	1000€1		
Angel Di Maria		1.01€1167	20€14			
Ismaila Sarr	100€11	110€13	490€12	1000€1		
Youssef En-Nesyri	1.01€1175	100€18	470€12			
Andre Silva		1.01€1167	2€11			
Ivan Perisic		1.01€1167	20€17			
Son Heung-Min			1.01€1177			
Steven Bergwijn	1.01€1167	2€11	36€16			
Bernardo Silva	1.01€1169	20€41	870€13			
Boulaye Dia	1.01€1167	20€37	920€15			
Pablo Sarabia		1.01€1170	20€18			
Ousmane Dembele	1.01€1174	100€11	350€12			
Luka Modric		1.01€1167	2€12			
Haris Seferovic		1.01€1167	1000€53			
Gerard Moreno		1.01€1167	1000€82			
Sofiane Boufal	1.01€1167	2€11	1000€19			
Kingsley Coman	300€13	550€21	1000€43			
Wout Weghorst		1.01€1167	2€13			
Gio Reyna		1.01€1167	1000€82			
Takumi Minamino		1.01€1167	1000€47			
Luuk de Jong		1.01€1167	1000€53			
Daryl Dike		1.01€1167	1000€82			
Hakim Ziyech		1.01€1178	1000€11			
Krzysztof Piatek		1.01€1168	1000€67			
Mason Mount		1.01€1170	20€17			
Hwang Hee-Chan		1.01€1168	1000€83			
Yuya Osako		1.01€1167	1000€73			
Xherdan Shaqiri		1.01€1169	1000€60			
Achraf Hakimi		1.01€1167	1000€81			
Gyasi Zardes		1.01€1167	1000€85			
Paul Arriola		1.01€1167	1000€85			
Famara Diedhiou		1.01€1167	2€12			
Arkadiusz Milik		1.01€1167	1000€62			
Ansu Fati	1.01€1167	2€13	180€12			
James Maddison	1.01€1169	20€18	1000€61			
Vincent Janssen	1.01€1167	50€27	1000€68			
Junya Ito		2€10	1000€32			
Daizen Maeda		2€2	1000€21			
Davy Klaassen		400€20	1000€64			
Takuma Asano		2€7	400€16			
