Brazil	2.1€405	2.12€90	2.16€57	2.28€237	2.3€500	1000€2
France	2.84€12	2.98€145	3€1339	3.05€161	3.1€122	3.15€161
Argentina	3.15€23	3.2€207	3.25€157	3.45€32	3.5€301	3.8€349
Spain	4€101	4.1€52	4.2€68	4.5€29	5.6€15	6€11
England	3.55€52	3.95€25	4€98	4.3€62	4.4€12	4.6€11
Netherlands	6€131	6.2€24	6.4€59	7.6€66	7.8€288	10€297
Portugal	6.6€13	7€97	7.2€28	8€34	80€11	1000€1
Croatia	12.5€26	13.5€40	14€112	19€39	700€6	
Switzerland	22€23	23€17	26€33	34€17	700€5	
Morocco	1.01€1166	29€16	40€13	55€19	700€6	
Japan	26€135	28€13	32€14	55€21		
South Korea	50€11	75€11	80€34	120€72		
