Kylian Mbappe	1.64€153	1.65€12	1.66€505	1.67€303	1.68€446	1.69€58
Richarlison	9.4€11	9.6€123	9.8€33	10.5€127	11€153	11.5€49
Lionel Messi	15€573	15.5€24	16€56	17€64	19.5€19	22€98
Alvaro Morata	15€79	16€13	18.5€26	19.5€57	20€53	22€26
Olivier Giroud	26€13	28€11	34€46	44€25	50€16	60€52
Marcus Rashford	27€12	36€15	38€26	75€13	1000€2	
Bukayo Saka	34€36	38€16	42€19	50€26	55€86	80€32
Neymar	20€31	50€22	60€34	120€14	130€15	160€13
Cody Gakpo	40€31	44€19	55€27	65€14	70€51	80€31
Ferran Torres	23€57	42€30	60€17	90€108	95€11	130€15
Harry Kane	46€13	60€16	70€31	80€17	95€25	110€16
Cristiano Ronaldo	32€12	46€42	75€12	95€14	100€11	150€14
Bruno Fernandes	42€25	48€12	75€22	110€25	150€15	
Julian Alvarez	1.01€1169	42€28	75€20	320€24	490€25	700€2
Breel Embolo	50€13	75€14	100€12	990€3		
Vinicius Junior	90€14	120€21	140€12	440€13	600€4	
Antoine Griezmann	1.01€1169	100€12	150€14			
Joao Felix	75€11	160€33	170€18			
Andrej Kramaric	65€22	100€57	200€28	1000€4		
Rafael Leao	1.01€1166	75€15	220€30			
Lautaro Martinez	2.02€40	18€21	100€20	1000€1		
Phil Foden	60€16	100€19	240€29	1000€2		
Youssef En-Nesyri		1.01€1164	100€21			
Dani Olmo		2€6	100€21			
Memphis Depay	80€18	85€12	100€20	1000€2		
Marco Asensio		2€4	100€20			
Pedro Abreu dos Santos		1.01€1162	20€11			
Marko Livaja		2€8	100€21			
Gabriel Martinelli		1.01€1171	500€16			
Raphinha		1.01€1172	100€21			
Steven Bergwijn		1.01€1166	100€13			
Jack Grealish		1.01€1167	130€12			
Andre Silva		1.01€1161	2€14			
Gabriel Jesus	1.01€1164	9€60	100€18			
Raheem Sterling		1.01€1163	100€17			
Haris Seferovic		1.01€1161	1000€15			
Bernardo Silva	1.01€1164	20€38	1000€17			
Gerard Moreno		1.01€1161	1000€16			
Angel Di Maria		1.01€1169	260€14			
Sofiane Boufal		1.01€1164	20€12			
Kingsley Coman		1.01€1161	1000€18			
Wout Weghorst		1.01€1161	2€14			
Luuk de Jong		1.01€1161	1000€13			
Ivan Perisic	1.01€1161	20€12	1000€13			
Hakim Ziyech		1.01€1167	100€20			
Mason Mount		1.01€1164	20€15			
Luka Modric		1.01€1163	20€18			
Xherdan Shaqiri		1.01€1163	1000€16			
Achraf Hakimi		1.01€1161	1000€16			
Pablo Sarabia	1.01€1164	20€15	1000€12			
Ansu Fati	1.01€1161	2€13	180€12			
Ousmane Dembele	1.02€1161	2€129	700€12			
James Maddison		1.01€1170	400€11			
Vincent Janssen	1.01€1161	50€27	1000€15			
Davy Klaassen			1000€9			
