Kylian Mbappe	1.6£587	1.61£373	1.62£108	1.65£156	1.66£391	1.68£54
Richarlison	9.4£80	9.6£70	9.8£22	10£42	10.5£31	11£82
Lionel Messi	14£101	14.5£5	15£23	15.5£11	16£53	16.5£35
Olivier Giroud	28£1	29£26	30£24	32£31	36£120	42£4
Goncalo Ramos	32£144	34£42	36£16	40£272	42£27	46£5
Marcus Rashford	40£8	42£15	44£7	55£7	60£5	75£1
Bukayo Saka	38£22	40£4	42£15	46£3	48£14	50£8
Cody Gakpo	48£6	50£20	55£6	65£9	70£80	80£5
Harry Kane	60£4	65£5	70£8	80£10	85£11	90£24
Bruno Fernandes	70£11	75£3	80£22	120£1	350£1	390£1
Neymar	65£3	75£3	85£12	90£7	110£11	120£58
Julian Alvarez	80£25	100£63	110£3	150£1	160£2	180£19
Phil Foden	85£4	130£7	140£26	200£7	1000£1	
Memphis Depay	150£2	160£13	170£4	990£4		
Vinicius Junior	70£1	90£13	150£10	200£4	310£1	320£5
Joao Felix	220£12	250£27	260£6	330£2		
Cristiano Ronaldo	210£1	220£2	250£2	300£1	400£1	710£2
Rafael Leao	260£1	280£3	290£2	330£3	770£4	780£2
Andrej Kramaric	95£5	120£61	300£2	450£2	490£3	1000£1
Lautaro Martinez	300£1	320£8	330£1			
Antoine Griezmann	360£4	370£4	380£1	500£1		
Marko Livaja	420£2	500£1	510£14	1000£1		
Jack Grealish	390£1	860£1	1000£5			
Gabriel Jesus	36£1	100£10	1000£5			
Raheem Sterling	310£3	320£3	1000£1			
Bernardo Silva	1.01£1000	2£2	1000£14			
Angel Di Maria	260£4	500£2	1000£7			
Sofiane Boufal	1.01£1000	2£2	1000£19			
Youssef En-Nesyri	560£1	600£2	610£17			
Kingsley Coman		1.01£1000	1000£26			
Wout Weghorst	2£2	700£2	1000£19			
Luuk de Jong		1.01£1000	1000£22			
Ivan Perisic		1.01£1000	1000£11			
Hakim Ziyech	2£4	160£1	1000£15			
Andre Silva	2£3	690£1	1000£18			
Mason Mount	1.01£1000	2£3	1000£17			
Luka Modric	1.01£1000	2£1	1000£7			
Achraf Hakimi		1.01£1000	1000£22			
Steven Bergwijn	400£2	410£1	510£1			
Pedro Abreu dos Santos	200£3	330£1	1000£3			
Raphinha	100£10	300£1	1000£8			
Gabriel Martinelli	140£1	210£2	1000£4			
Ousmane Dembele	700£5	800£2	1000£4			
James Maddison	1.01£1000	2£2	1000£21			
Vincent Janssen	50£20	95£3	1000£25			
Davy Klaassen			1000£21			
