Lionel Messi	1.65€1339	1.66€324	1.67€45	1.68€472	1.69€1380	1.7€26
Kylian Mbappe	2.96€359	2.98€43	3€917	3.1€307	3.15€198	3.2€36
Julian Alvarez	26€135	27€85	28€65	29€37	30€106	32€140
Olivier Giroud	28€63	29€19	30€314	32€83	34€224	36€37
Antoine Griezmann	120€16	250€13	1000€32			
Andrej Kramaric	2€26	190€11	1000€15			
Lautaro Martinez	8.8€11	18€28	1000€15			
Angel Di Maria		2€26	1000€43			
Sofiane Boufal		2€25	1000€65			
Youssef En-Nesyri	2€26	170€12	1000€18			
Kingsley Coman		2€23	1000€79			
Ivan Perisic		2€23	1000€44			
Hakim Ziyech	2€33	810€17	1000€36			
Luka Modric		2€23	1000€37			
Achraf Hakimi		2€23	1000€60			
Ousmane Dembele	1.02€1145	2€144	1000€46			
Marko Livaja		2€23	1000€59			
